Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Accenture,"Sep 3, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 5+ months. I interviewed at Accenture.,"It was a campus recruitment with 2 rounds. 1st round was a group discussion and 2nd round was technical and HR. Group discussion was based on some topics like 'Global Warming' and after that we had 1 technical interview with all data structures, area of interest mentioned in resume and OS related questions. There were few counter questions on my replies. So better be able to justify your answers.",Data structure questions and some OS related questions.   Answer Question
Accenture,"Sep 25, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 5 days. I interviewed at Accenture.,"On campus interview from my undergraduate college. The interview was behavioral majorly, with a couple of technical questions about what I had learned during my degree. It was pretty simple overall.",Tell me about the history of Arthur Anderson and how and when it came to be known as Accenture. This was unexpected rather than difficult.   Answer Question
Accenture,"Nov 17, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Accenture.,"I had applied through campus recuritmentso had 4 rounds in College Aptitude Test, Group Discussion, HR Round and Technical RoundHR Round was simple mostly on ""Something about yourself"", "" Willing to Relocate"","" Ready to work in shifts""",As such there was no difficult question asked   Answer Question
Accenture,"Nov 12, 2014",Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Accenture.,"Three levels of interview, initial screening by the recruiter, followed by a technical interview after one week and another final interview a week later. The technical interview is more skill based/experience questions and a few technical questions. The final interview has situational and few technical questions to assess your experience and fit with the company.",How do you manage a difficult employee if you are a Supervisor   Answer Question
Accenture,"Oct 24, 2014",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 6+ weeks. I interviewed at Accenture (Sacramento, CA) in July 2012.",5 phone interviews and one in person interview. Be very careful if they don't fly you out to the office you will be working in. Office culture varies a lot from city to city. I had an interview with an engineer out of the office I would work in over the phone. I would highly recommend to meet someone from the office you will work in IN PERSON.,No hard ball questions. Just know your technical expertise.   Answer Question
Accenture,"May 22, 2014",Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. The process took 2+ weeks. I interviewed at Accenture.,"My interview was over the phone, it was easy, no tuf quetions asked. all expected questions were asked as given in my resume.Its overall a earsier way of craking the interview than face to face interview.",I did not encounter any unexpected question   Answer Question
Accenture,"Aug 3, 2014",Accepted Offer,Positive Experience,Difficult Interview,I applied through other source. The process took 4+ weeks. I interviewed at Accenture.,"I went through the interview process as a fresher in Accenture and had several rounds of interviews. Started with a written test which was pretty generic (Engineering based & Aptitude). Selected people were taken for 3 rounds of Group Discussion. This was followed by 3 rounds of interviews - Technical, Behavioral & Situational and HR & Hiring Manager.",For a fresher trying to forecast a work situation and answer based on that was very difficult   Answer Question
Accenture,"Oct 30, 2013",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2 weeks. I interviewed at Accenture (Boston, MA) in September 2013.",one HR interview and two technical and one on site round with technical as well with questions in java and mostly from arrays and JSP servlets,explain you challenges at your previous employer   Answer Question
Accenture,"Sep 21, 2013",Declined Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Accenture in September 2012.,"First, there's an aptitude test. Clearing that, you have one-on-one technical interview and then in the end, a personal interview.",Tell me about the project you are currently working on..   Answer Question
Accenture,"Mar 26, 2014",Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Accenture.,First was a phone interview as prescreen and the an actual one on one interview.,NAN
Accenture,"Mar 18, 2014",Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 6+ months. I interviewed at Accenture.,"Took 3 different interviews over 6 months.First one was just background check,Second interview was just read out questions from technical interview questionsLastly third interview was just chatting with manager level.",NAN
Accenture,"Mar 15, 2014",Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Accenture.,"The interview process was typical with 4 total interactions, 3 phone interviews and one in person meeting with HR.",Detail questions about previous work/projects.   1 Answer
Accenture,"Jan 29, 2014",No Offer,Positive Experience,Difficult Interview,I applied online. The process took 2 weeks. I interviewed at Accenture.,"I applied the job online. Then, I got a phone interview. A week after that, I got an assessment test. I think I did poor on the test due to time constraint. There is no interview progress after that.",There is no unexpected question. They ask me what do I know about their company. What is the salary expectation.   Answer Question
Accenture,"Mar 19, 2011",No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Accenture (Seattle, WA) in February 2010.",It was normal interview with puzzles and brain teasers. Do prepare data structures and OO concepts.,What is polymorphism?   Answer Question
Accenture,"Apr 27, 2012",Declined Offer,Neutral Experience,Average Interview,"I applied through a recruiter. The process took 4+ weeks. I interviewed at Accenture (San Francisco, CA) in January 2012.","The hiring process consisted of one HR interview (telephonic), two technical interviews (telephonic) and one in-person interview. The process was long and confusing as the HR was mostly hard to reach and snobbish.",Would you be willing to travel everyday to anywhere in California?   1 Answer
Accenture,"May 5, 2012",No Offer,Neutral Experience,Easy Interview,"The process took 2 days. I interviewed at Accenture (Chicago, IL) in January 2010.",The interview was over the phone with an human resources representative. I obtained the interview through a university recruiting event. The interview process and questions focused a lot on academic achievements. The interview questions also focused a lot on organizational involvement while in school. The questions for an engineering position did not lead to my current work experience as an engineer. I had to bring up my current work experience related to engineering. This was a general human resources phone interview to obtain an initial screen of me. Overall sounded like a great company to work for and offers average benefits.,What positions did you hold in organizations at your university?   Answer Question
Accenture,"Apr 25, 2013",Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3 weeks. I interviewed at Accenture.,"Applied online. Received initial skills test online with basic to somewhat advanced logic tests. When passed, went in for interview. One interview was personality based, the other for technical knowledge.",The technical questions were fairly basic. They should be basic knowledge for anyone even attempting to apply for a Software Engineering or programming position.   Answer Question
Accenture,"Jan 24, 2013",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Accenture (Bolivar, MO) in March 2010.","Applied online, had a one hour interview with my possible supervisor and the head of the development department. Questions centered on character and experience versus education or skill.",What would you do if you could do anything?   Answer Question
Accenture,"Jan 31, 2013",No Offer,Positive Experience,Easy Interview,NAN,"The interview process consisted of following round:1. Technical interview with in depth java and design questions.2. Behavioural interview with lot of scenarios3. HR interviewAll the rounds were on phone, Not sure if this has happen with anyone? I will update here when I get the offer!",1. Interface vs Abstract class2. describe your most recent project and challenges   Answer Question
Accenture,"Jun 18, 2015",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2+ weeks. I interviewed at Accenture (Washington, DC) in June 2013.","Phone Interview - Allows the recruiter to get to know youIn-Person interview - 1 technical with java based questions and 1 functional with team oriented questions. Need to be ready to understand object oriented programming and fundamentals such as objects, classes, methods, constructors, ect. Also need to e able to answer questions based on teamwork, leadership and challenges.",Describe how you worked within a team to overcome a major obstacle?   Answer Question
Accenture,"May 26, 2015",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Accenture (Los Angeles, CA) in December 2013.","A brief phone screen with HR about willingness to travel for work and prior experience and background. Then a general discussion on video with a senior manager about Accenture business and benefits. Lastly, there was a phone interview with a senior software engineer in New York covering general Java programming questions."," Testing, spring framework, SDLC. Nothing in depth such as coding questions.   Answer Question"
Accenture,"Jan 14, 2015",Declined Offer,Positive Experience,Easy Interview,I applied online. The process took a week. I interviewed at Accenture in January 2015.,"Applied for the position and they got back to me fairly quick(less than a week). The recruiter was very nice and give me some background on the company and the position. Five days later, I had my technical interview. Thank God for a previous review because my interviewer basically asked me the exact same questions and I was able to answer all of them. He asked me about polymorphism, abstract class, abstract methods, exception, errors, past projects experiences, encapsulation, inheritance, why accenture, interface, overloading vs overriding, static, and at the end I got to ask some questions. After the interview was over I received an email from my recruiter letting me know she wanted to move on to the closing/HR interview."," WARNING: The technical person will ask you what languages you are most comfortable with and ask you question regarding all. So if your strongest in Java, just say Java. Don't be cocky.   1 Answer"
Accenture,"Jan 17, 2015",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 days. I interviewed at Accenture.,"Hiring and interview process is easy. They will ask you questions on whatever your strengths are,like, you just have to tell them your good areas and they will put questions on that area,so, I would say it's easy.",I didn't faced any difficult or unexpected question   Answer Question
Accenture,"Jan 6, 2015",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 days. I interviewed at Accenture.,"As it was a college placement, it started with an aptitude test. After clearing the test there was a round of technical interview. Mainly here the interviewer asked about my college project and a few technical questions on C++ and Java. This was followed by an HR interview, where the interviewer asks some situation based questions. Also expect questions on relocation and working on shifts."," Can't disclose the question but would suggest one thing, make sure you get your fundamentals cleared on programming/database. If you want to answer some bold concepts just make sure that you answer them carefully because if the interviewer is technically strong(most of the times they are), they can grill you by asking questions based on your previous answers.   Answer Question"
Accenture,"Dec 16, 2014",No Offer,Neutral Experience,Average Interview,I applied through an employee referral. The process took 3 weeks. I interviewed at Accenture in October 2014.,"There was a phone screen, a technical interview, and a managerial interview.The phone screen is exactly what you would expect. The person I spoke with was nice and gave me more details about the company and what to expect when working at Accenture. He did ask a few behavioral questions.The technical interview was done over the phone, there was no programming in the interview. Mostly it was a lot of question that tested your understanding of object oriented programming.The final interview was done over the hirevue interview service. The questions asked in the interview are about your experience programming, and a few behavioral questions.",I was asked quite a few in depth questions about abstract classes.   Answer Question
Accenture,"Feb 4, 2015",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 days. I interviewed at Accenture (New York, NY) in May 2014.",It was very good and they made us very comfortable.Just be confident and go.Check the company background.Study completely about the company.Know what your profile is and what you are applying for.,Describe about you?   1 Answer
Accenture,"Sep 29, 2015",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 days. I interviewed at Accenture in February 2011.,First round was written test . second round was technical interview . third round was behavioral interview.All three were on campus. Overall experience was smooth and almost everyone got selected..,what projects you have done in your college time ?   Answer Question
Accenture,"Sep 28, 2015",Accepted Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Accenture (Boston, MA) in February 2015.","-First an over the phone HR chat-Then had a ""technical"" interview. The Tech interview Q's asked ""what's polymorphism, inheritance"" etc. Literally ultra easy. Then we just chatted tech and about the job.",What is polymorphism?   Answer Question
Accenture,"Sep 7, 2015",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 1+ week. I interviewed at Accenture (Reston, VA) in January 2011.","2 on campus interviews then one in the main office. This was all done in 2001, so I can't really say what happens now. They moved quickly and were the most responsive of any place I interviewed.",Tell me about your college coursework.   Answer Question
Accenture,"Jul 16, 2015",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at Accenture (College Place, WA) in August 2014.",There were 2 rounds first was apti n second Piapti was difficult questions on quanta logic n verbal were therePi was easy they would ask about basic oops concepts to computer fields and to other fields the round would be to check your confidence and communications skills and how well u are at problem solving,What are variablesbasic oops conceptshr type questionsoverall interview was very easyThey just see communication skills Pi was easy they would ask about basic oops concepts to computer fields and to other fields the round would be to check your confidence and communications skills and how well u are at problem solving   Answer Question
Accenture,"Apr 2, 2016",Declined Offer,Neutral Experience,Easy Interview,I applied through college or university. The process took 2 days. I interviewed at Accenture in September 2014.,"On campus recruiting in college.1st round aptitude test with math and logical reasoning questions2nd round group discussionYou have a simple aptitude test, following which there is group discussion with 4-5 people.",Behavioral interview questions   Answer Question
Accenture,"Apr 26, 2016",No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. The process took a week. I interviewed at Accenture (San Francisco, CA) in February 2016.","I was contacted via email and asked to apply online for a specific position. Later, on the phone I asked how they had found my resume and was told that it was from Monster. I hadn't placed my resume on Monster and still haven't. Thought this was worth mentioning. I was then called by an employee of Accenture in Canada about the position I applied for in California and asked stereotypical placement questions that were not at all technical and then asked to complete an online test about Java. The information I was given was somewhat misleading. The link to a video about the test implied I would be asked to answer questions with a mic and a webcam, which were not at all utilized. Half of the questions were unrelated to Java but still technical. For example, typical Linux commands. All of the questions were multiple choice and individually timed. Each question was allotted about thirty seconds with a few longer questions getting slightly more time and a few others getting less. After completing a question you had as long as you desired to click the button to show the next question, which also starts the next timer. It took me about twenty minutes over all. After completing the test I confirmed via email that it was finished and then literally never heard from them again.",Q: Are you willing to move to the job location?   1 Answer
Accenture,"Oct 30, 2015",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at Accenture (Chicago, IL) in February 2015.","Very flexible. I had my technical interview in a Saturday and the interview with a senior manager in the next Friday, end of the day.Since I was in a critical phase of the project with deliverables, I asked the recruiter to schedule interviews during time that would not impact my activities. I was surprise when he proposed me the first one in a Saturday morning.",To explain what I knew in the area I was applying for the position   1 Answer
Accenture,"Nov 11, 2015",Accepted Offer,Positive Experience,Average Interview,NAN,"4 rounds of interviews. two telephonic interview with two different managers and team leads and one onsite interview with a technical team and final round was HR interview which I spoke with HR representer. Tell me about yourself?, Reason for wanting to join Accenture?, What type of consulting work would you like to focus on?",Asking some basic java and data structures. asking about different design pattern and web application life cycle.   Answer Question
Accenture,"Dec 17, 2015",Accepted Offer,Positive Experience,Difficult Interview,I applied through college or university. The process took 2 days. I interviewed at Accenture.,"There was a single interview which was designed to be a combination of both technical & behavioral.The HR interviewing you, checks your communication skills, technical skills (may ask you write a small code given a problem) , asks your opinion , check your leadership , creativity through questions.",Write a code in C language such that output will be of Triangle shape.   Answer Question
Accenture,"Feb 3, 2016",No Offer,Neutral Experience,Average Interview,I applied online. The process took 1 day. I interviewed at Accenture in February 2016.,They asked my status first and wanna check my background but then told me the the requirement of that role has changed and it is only open for U.S. citizens... I have nothing can do with that and said I would keep trying to find any other possible positions.,What's your citizenship?   1 Answer
