Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Adobe,"Nov 24, 2014",Accepted Offer,NAN,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at Adobe in November 2014.,"On campus, 3 round of onsite, people are good, very good. There are many teams that are hiring so that I have 3 rounds of it. Many multimedia position and QA besides programmer.",find the all the nodes in a tree which the distance of k to the target node هت 1 Answer
Adobe,"Nov 13, 2014",No Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at Adobe in November 2014.,"I applied through collage career fair and had an on-campus interview. Then, got a onsite interview the week after. We spent two days at Adobe. The first day was like a mini career fair. We can talk to the teams that we are interested in. By the end of the day we ranked the teams that we are willing to interview with. At that night we got our interview schedule for tomorrow.",The team I interviewed with asked four simple technical questions.(1) Finding bugs in a C code (something about index out of bound.)(2) Basic idea of constructor and destructor in C++.(3) Given an integer array and its length. Eliminate the duplicated numbers in the array.(4) Point out the flaw of a class in C++ (poor memory management.) هت Answer Question
Adobe,"Oct 18, 2014",No Offer,Positive Experience,Average Interview,NAN,I applied through the career fair and had a onsite interview the next day.The interviewer asked me whether I have used Hadoop before and ask me about the recommendation system. Obviously they are looking for data engineer/scientist at the moment.But I was not prepared for that so I got declined.,How would you use the recommendation system for Netflix? هت 1 Answer
Adobe,"May 6, 2014",No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2 weeks. I interviewed at Adobe (Lehi, UT) in April 2014.","The interview process was pretty straight forward. Had a phone interview, then went on site for another. The questions were not to hard. The questions were mostly related to stuff you would do for the job, nothing tricky or unexpected. Next I met with the team for the same type of questions.",How would you pull this data out of this SQL table without loading it all into memory? هت 2 Answers
Adobe,"Jun 5, 2013",Accepted Offer,Positive Experience,Average Interview,NAN,Couple technical phone interviews followed by 2 rounds of onsite interview. Basically a total of about 8 interviews each being 45 minutes long. Onsite are little stressful but people are nice and make sure you are doing fine.,Mostly technical - from memory management to algorithms to system design. هت Answer Question
Adobe,"Dec 13, 2009",Accepted Offer,Positive Experience,Average Interview,"The process took 4+ weeks. I interviewed at Adobe (Newton, MA) in December 2009.","I applied to San Jose, CA position online. Then an HR person representing the Newton, MA office contacted me, which was win-win because I live in Boston and I had contacts also working for or with the Newton office. After a phone interview with two managers, I came in to the office, gave a presentation of my past work, and then had video-conference based interviews with five people.Everyone sounded interested in my work, and we had a good series of back-and-forth discussions about the current technology used at Adobe and what sort of changes might be made in the future.It was not a cake-walk of an interview (e.g. I did have to prepare a presentation), but I felt like I was engaging a set of peers, rather than talking to people attempting to intimidate me or prove that they were smarter than I am.",What was your first programming project? هت 1 Answer
Adobe,"Apr 30, 2013",No Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Adobe in January 2013.,"After going to a summer intern career fair and talking to a recruiter, she called back that evening to schedule an in-person interview on the up-coming Friday. The Interviewer was a Senior Software Engineer and easy-going. There weren't any technical questions.",Tell me about a time when faced a problem in one of your projects. هت Answer Question
Adobe,"Feb 18, 2013",No Offer,Positive Experience,Difficult Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Adobe (Lehi, UT) in November 2012.","Talked to the guy at an on campus career fair, then got an on-site interview after a telephone call to figure out the availability. Process was quick and HR was friendly. Got a tour of their excellent new building in Lehi. Interviewed with two team managers. Got rejected the following Wednesday.",Talk about some machine learning algorithms you know هت 1 Answer
Adobe,"Dec 31, 2014",Declined Offer,Positive Experience,Difficult Interview,NAN,"it is very normal process 5 round and 5 different guy ask you different question, it include detail things with programming design pattern agile and project management,it include detail things with programming design pattern agile and project management",it is very normal process هت 1 Answer
Adobe,"Feb 18, 2015",Accepted Offer,Positive Experience,Average Interview,NAN,Got an on-campus interview from career fair. Talked to the hiring manager the second day. Invited for a Adobe Technical Interview Forum which is a two-day process during which you talk to different teams on the first day and interview with different teams that you are interested in on the second day.,What are your experiences? هت Answer Question
Adobe,"Feb 19, 2015",No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 days. I interviewed at Adobe (Los Angeles, CA) in October 2014.","My school held a career fair on campus, and I interviewed the next day through the career center. I was scheduled for a 30 minute slot, and the Senior Software Engineer that interviewed me was great. We talked about my classes, interests, and then I was asked to answer a technical question at the end."," You are given a rectangle's height, width, and the x and y coordinates of its upper left-hand corner. Given two rectangles, write code to indicate when there is an intersection between them. هت Answer Question"
Adobe,"Jan 27, 2015",No Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 2 days. I interviewed at Adobe in November 2014.,I'm students from UCLA. I talked to their HR in the career fail and got an onsite interview the next day. They asked me a simple porgramming problem: How to find the overlap of the rectangulars? The intervierer is one of their IT and is really nice.," The question that I mentioned is the only question that I got in that interview. However, there're several simple following quesitons like: does this program work if two given rectangulars don't overlab at all... However, those questions are also simple. هت Answer Question"
Adobe,"Oct 5, 2015",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at Adobe (Pittsburgh, PA) in September 2015.","I applied through school job fair. Got an on-campus interview. The recruiter was very friendly. We talked about my experience in my resume and how is my school life. He also asked some questions related to skills I mentioned in resume like comparison of Java and Python, mobile app developing, etc. No coding or algorithm questions asked.",What do you think of Java and Python? هت Answer Question
Adobe,"Sep 12, 2015",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 4 weeks. I interviewed at Adobe (San Jose, CA) in February 2015.",The usual speak with a recruiter then if you make it through that you go through 2 or 3 technical interviews and if the teams like you and you have great coding skills you will be picked. I did not have to go on site for my interview but I know a lot of the other interns did so you might have to as well it all depends. I got a call back from my recruiter 2 weeks later saying I got the internship.,Reverse a string. Also they gave me a homework assignment to compute the average of an IRIS data set after reading in the petal lengths. هت Answer Question
Adobe,"Sep 17, 2015",Accepted Offer,Positive Experience,Average Interview,The process took 2 days. I interviewed at Adobe.,"Came in via acquisition, so my experience won't be relevant to Adobe. As such, I will discuss my interviews for other team members and support from Adobe HR. Pretty standard set up with 3-4 interviews in one day, and director/VP level interview if applicable. All my interview have been of a technical nature, and I will basically ask a couple of ""vetting"" questions around the tech stack we use. Following that, I will ask the candidate to rate him/herself on proficiency with certain technologies or processes (1-10 scale) depending on rating I will ask questions of a difficulty to see how their rating matches with my rating. If there is time after this, I will ask questions that are open ended for them to share a time when they did X, where X is something along the lines of ""disagreed with technical direction of another individual or manager"", ""applied a good engineering practice, and what was the practice?"" or some other answer that gives information both from what they decide to share, as well as how they describe the disagreement/learning/etc. I don't typically do a coding exercise, since the rating system basically helped me triangulate their proficiency."," As mentioned above, I am not trying to stump the person I interview, but rather gauging what they share on a question such as &#034;name a time you disagreed with technical direction of another individual or manager and how you responded&#034; as I find it gives me a better sense of what they are like during the &#034;day job&#034; part of their previous employer and not how sharp they are on the spot with a whiteboard. هت Answer Question"
