Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Ebay,"Aug 19, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. I interviewed at eBay (San Jose, CA) in March 2014.","Had 2 interview rounds, was asked questions/programs in Java (Collections, Multithreading, OO concepts) , Data-Structures (Stack and Queue), Design Patterns (Singleton), SQL, C++. More questions about my previous work experience, school projects.Both were telephonic rounds."," If I mark an arraylist as final, can i add more elements to it?   1 Answer"
Ebay,"Oct 1, 2014",No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at eBay in January 2014.,"I appied online. It took about 30 days to get call from HR. They scheduled a 40 mins technical phone interview with me. The interviewer is not responsive to my answers. Even though I was pretty sure some of the answers of the questions, but it still made me really nervous.",what's the difference between stack and heap in memory   2 Answers
Ebay,"Oct 27, 2014",Declined Offer,Neutral Experience,Easy Interview,I applied through college or university. The process took 4+ weeks. I interviewed at eBay.,"It was very ad-hoc due to some informal timing. It started with a career fair at my university. I had a screening interview, and then applied online. A few weeks later I was contacted to come on campus for interviews. I met with a couple of teams in platforms and services, and had some excellent conversations with the managers.",Design a cache system   1 Answer
Ebay,"Oct 18, 2014",No Offer,Negative Experience,Average Interview,"I applied through an employee referral. The process took 6 weeks. I interviewed at eBay (Seattle, WA) in September 2014.","referred by my friend and firstly talked with recruiter about my skills and projects in school. two days later had two screen technical interviews (1 hour for each) with software engineers. some days later, arranged to have a Skype Loop Interview with engineers and manager.phone interviews were good, interviewers were pretty nice, patient and friendly. however, two interviews in loop interviews were really really arrogant.no matter what I said (during the coding, I was trying to express my idea about the question), he just said nothing and no response at all. and for the last 5 or 10 minutes, we talked about culture and position at eBay and also got some uncomfortable answers.3 days later, got a rejection email although I believed that I solved all the technical problems correctly. I have no idea why."," nothing unexpected, basic concepts about RESTful web service, data structure (hashtable and collision), algorithm and some coding challenges (tree, searching, array...)   1 Answer"
Ebay,"Jun 10, 2014",Accepted Offer,Negative Experience,Average Interview,NAN,"one day interview, 6 interviews including the manager. Almost everybody asked technical questions, but not very hard, they focused on fundamental stuff. It's ok if you failed to answer some questions",dynamic programming.   1 Answer
Ebay,"Jun 9, 2014",No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at eBay (Seattle, WA) in April 2014.","After the prescreen interview with hr to check my background to see if match,I got an phone interview which has 3 rounds and with different engineer.The question is about data structure and algorithm,not too many programming language specifics.The problems are like this1. Fibonacci numbers1 1 2 3 5 8 13 ...2. two sum, do not need to deal with duplicate pairs"," 1. Fibonacci numbers1 1 2 3 5 8 13 ...2. two sum, do not need to deal with duplicate pairs   Answer Question"
Ebay,"Jul 31, 2013",No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at eBay in April 2013.,"Applied on their website. Then contacted by a recruiter. Discussed my background, skills and interests. Then scheduled a technical phone interview. interview was normal. Some basic java questions and one programing problem. Find the maximum length of consecutive ones in a nxm matrix which has only 0's and 1's.",Find the maximum length of consecutive ones in a nxm matrix which has only 0's and 1's.   3 Answers
Ebay,"Aug 7, 2013",No Offer,Negative Experience,Average Interview,"The process took 2+ months. I interviewed at eBay (San Jose, CA).","I was contacted by an outside recruiter who asked few basic resume questions. She forwarded my resume to a team.There was technical phone screen with few coding questions like write all permutation of the string.Later, to my surprise was asked for a Skype interview as I was not a local candidate. I was not at all impressed by the interviewers. First person could not connect to the skype for 15 mins. Eventually due to poor quality of his data network on his ""phone"" (not from a desktop computer with a wifi)- we had to turn-off the video.He had asked an array merging question and it took me 20 mins to code and 40 mins to explain him how and why the code would work. It was the simplest of codes and I have written complicated code. It was not that he wanted to know my thought process- but it seemed he did not understand.Second was a guy with a thick accent and a low talker. Why would you ask such a person to interview if he cannot put his point through. He had asked reversing a linked list and Fibonacci. Pretty straight forward coding.Third interview was even worse where the interviewer would drum and was humming some music while I was writing the code. What on earth is the problem with this girl? She was so rude- I am not kidding- while I was explaining my thought process of her solution, she interjects saying...'can you just code and not explain things'. So the question was to check if the number is a palindrome and as she did not want me to explain- I wrote the entire code where I converted the int to string and compared it with its reverse. Now she pulls me down as why would I give a solution like that. Anyways, within few mins, I gave her division and modulo way of checking the palindrome of the number. Without responding, she jumps to SQL questions. Wow!Finally the manager comes- who was better than the previous three and asked to write a code to convert string to int which I coded pretty well within 20 mins. In the last 10 mins he comes up with another question for which I was able to code partially due to time constraint."," Last interviews question for which I got 10 mins was a tricky one.He wanted me to implement Google's ""Did you mean"" logic.   3 Answers"
Ebay,"Jun 11, 2013",Accepted Offer,Negative Experience,Easy Interview,I applied online. I interviewed at eBay.,Phone Interview,Fibonacci Series using recursion and iteration. Ask to reduce number of recursive calls.   1 Answer
Ebay,"Jul 6, 2013",Accepted Offer,Negative Experience,Easy Interview,NAN,Had a 2 - 60 min phone interviews. Was asked questions on Java and Databases more aligned to my role as Intern there. Interviewers were very receptive and guided me during the process.Received a confirmation on same day as second interview and accepted it on the same day,How would we make Singleton thread protected except interviewer did not want to include Synchronized block in there.   3 Answers
Ebay,"Jul 14, 2013",No Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at eBay in May 2013.,1) Applied through company website2) Phone interview by HR for background-check and to setup a date for technical phone interview.3) Two 1hr back to back interviews,Both interview consisted of (as expected) full of technical questions testing your basics and coding abilities.   1 Answer
Ebay,"Oct 15, 2013",No Offer,NAN,Difficult Interview,I applied through a recruiter. I interviewed at eBay.,"The eBay recruiter reached out to me and set up the interview process. I cleared the telephonic interview and then I was invited for the onsite interview. They asked questions from Java, CSS, HTML, Product Design, Javascript, Algorithms, Puzzles.I was told that the decision will be made in a week by the hiring manager very clearly. I waited for more than a week and reached out to the recruiter after I did nt hear anything from eBay. The recruiter kept saying that the decision has not been made and that they are still interviewing each time I would send an email. This continued for more than a month. I had similar experience with another eBay recruiter in the past where they do not show any courtesy informing the result of the interview. Sometimes the recruiter does not even respond to your email and phone call.The candidates are mature enough to understand that they have not been selected. A recruiter or HR sends a polite email conveying the message at most of the companies. The recruiting process at eBay is horrible... very unprofessional!"," They asked questions from Java, CSS, HTML, Product Design, Javascript, Algorithms, Puzzles.   Answer Question"
Ebay,"Sep 3, 2013",No Offer,NAN,Difficult Interview,I applied through college or university. The process took 4 weeks. I interviewed at eBay.,Process was Kinda Slow. Had a phone interview and nearly a 2-3 weeks gap between the result/,Interview was basic CS concepts   Answer Question
Ebay,"Sep 23, 2013",No Offer,Negative Experience,Difficult Interview,I applied through college or university. The process took 5+ weeks. I interviewed at eBay.,"Applied through school and then got a phone interview. The phone interview was very fast paced loaded with questions. The phone interviewer was nice though. After that, got a Skype interview with 5 people. All of them were great except one. That one was not prepared for the interview at all, he asked a question that was too difficult. So when I couldn't answer, I asked him to answer it himself. The funny thing that he couldn't answer his own question."," Given a BS tree, give the median number in the tree with O(1) space.   5 Answers"
Ebay,"Oct 9, 2013",No Offer,Negative Experience,Easy Interview,"I applied through college or university. The process took 1+ week. I interviewed at eBay (Ithaca, NY) in October 2013.","Applied through College. Interviewed by Research Director on Campus. Positive experience during the interview. Some behavioral and resume questions. Only one programming question - Reverse a Linked List, Algo for Binary tree Lowest Common Ancestor. But really erratic reject after doing wonderful ( mentioned by the interviewer)",Reverse a Linked ListAlgo for Binary tree Lowest Common Ancestor   1 Answer
Ebay,"Oct 3, 2013",No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at eBay.,hr interview - sr software engineer," need to prepare much comprehensive, even littlest thing   Answer Question"
Ebay,"Feb 16, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 2+ weeks. I interviewed at eBay in October 2011.,"referred by friend, arranged interview with hiring manager",NAN
Ebay,"Feb 8, 2014",No Offer,Positive Experience,Average Interview,NAN,I was set up an interview for on-campus recruiting,Interview questions were that that bad. Fundamental Software concepts and algorithms.   Answer Question
Ebay,"Feb 4, 2014",Declined Offer,Positive Experience,Average Interview,NAN,Phone screen was a few basic questions. Round 2 was 3 interviewers by Skype.,Nothing extremely hard.   Answer Question
Ebay,"Jun 11, 2010",No Offer,Neutral Experience,Average Interview,"The process took a week. I interviewed at eBay (San Jose, CA) in April 2010.","I was contacted by a recruiter. After few days had a phone screen and then onsite interviewThe interview went fine , I was interviewing after a long time and as such was not well preparedOverall experience was fine and I guess my 1:1 interview did not go well as i never hear back from them",handling concurrent sessions   Answer Question
Ebay,"Apr 15, 2010",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at eBay (Campbell, CA) in April 2010.","I got this interview through my school's career fair. They asked me about my class projects so we talked about that for a little bit. They asked me two technical questions. I don't actually remember the first one, but I do remember the second one. There were also some behavioral ones. There was only one phone interview and they sent me an offer the day after. They were super friendly and good people to talk to."," You have a list of numbers from 1-1000, each number only exists once and they are in random order. You randomly take one out. How do you know which is the missing number?   5 Answers"
Ebay,"Feb 10, 2011",No Offer,Neutral Experience,Average Interview,"The process took 1 day. I interviewed at eBay (San Jose, CA) in October 2010.","Basically I was given an USB drive in which 3 programming questions were there. I had 30 mins to try to finish as much as I can. The questions were also available in paper but there wasn't enough for all the interviewees. Then I took the USB with my solutions to an interviewer. The interviewer wasn't trying to be helpful, and he doesn't really know about those 3 questions. I didn't do well because that was my first interview ever and my brain froze. Later they didn't email me to tell me that I didn't get it, but that was the case.",Detect if a linked list has a loop.   1 Answer
Ebay,"May 4, 2011",No Offer,Negative Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at eBay (San Jose, CA) in March 2011.",The interview consisted of 2 phone interview. First one was technical with some questions on database and Java. The second was about experience and behavioral.,How do you see yourself in 5 years?   Answer Question
Ebay,"Oct 28, 2011",No Offer,Negative Experience,Average Interview,"I applied through a staffing agency. The process took 2+ weeks. I interviewed at eBay (San Jose, CA) in October 2011.","I got a linkedin request from ebay hr for position available for Xcommerce one of their companies. I had a telephonic interview which went well and interviewee told me next step is we will ask you to come to San Jose. I did not heard back from them so mailed back. Now another guy calls me up to say there is position available for Quality Engineer right now not SE. I told I am not interested, I want to work in Product Development team only no QA stuff. Again they arranged for another telephonic round with another lead. That also went well, now this guy again arranged telephonic interview with his manager. That round was ok for me and did not hear back from them.I still do not understand why I had three telephonic interview rounds, looks like the recruitment process is following any particular process."," what is race condition, reflection, how can you instantiate object in more than one way. Dining philosophy scenario, diff between .equals and ==, which ds is used for maintaining connection pooling mechanism, sorting algorithm (how it works, how many times u compare and swap). diff between arraylist and linkedlist, wap to reverse string etc.   2 Answers"
