Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Facebook,"Aug 25, 2014",No Offer,Neutral Experience,Difficult Interview,I applied through an employee referral. The process took 2 weeks. I interviewed at Facebook in August 2014.,"I was contacted by a Facebook recruiter, and offered an interview for a Software Engineer Internship. I had two interviews, both a combination of talking on the phone and coding on collabedit.com. The first interview took place about five days after I was first contacted about the position; the interviewer asked a few questions about projects I'd done and then started with programming questions. The second interview happened a week later, and the interviewer dove straight into coding problems. I was asked general algorithm questions, like get the n-th Fibonacci number, find the square root of a number, find the depth of a binary tree, merge two arrays, etc. Both interviewers saved time at the end for any questions I wanted to ask them."," Display the sorted output of a merge of any number of sorted arrays. Then do it again, more efficiently.   6 Answers"
Facebook,"Aug 19, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 4+ weeks. I interviewed at Facebook (Menlo Park, CA) in July 2014.","I was hiring specifically for an iOS position. The recruiters start with Obj-C 5 multiple choice questions, which required some surprising depth. I won't get into specifics, but take time to understand memory management (even with arc), blocks, addresses and pointers.After was a phone interview which mostly involved a collaborative coding question. The questions asked here were very typical algorithmic questions, the answers usually involved a hash to cache meta values to increase performance.Protip: Be familiar with NSSet and NSOrderedSet. These data structures are more performant than NSArrays for some operations, and I found myself using them in almost every answer.Then you have an onsite visit, with 4 additional interviews: 2 coding, 1 design, and 1 ""culture fit"" which, for me, was really another coding interview.Your recruiter will contact during the next week or two afterwards to give you updates on your status. I believe there are three different meetings where your interviewing notes are reviewed and given consideration.",What is something other people misunderstand about you?   3 Answers
Facebook,"Aug 10, 2014",No Offer,Neutral Experience,Average Interview,I applied through a recruiter. The process took a week. I interviewed at Facebook in June 2014.,"One/two phone interviews and one onsite. Contacted by recruiter, setup the time for a phone screen. Fairly well managed setup. Interview called on time, and was very nice to work with.",Add two binary numbers (Input as a string)   15 Answers
Facebook,"Aug 7, 2014",No Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 3 days. I interviewed at Facebook (Menlo Park, CA) in June 2014.","I was contacted by the recruiter through linkedin. I had an initial call with the recruiter where I was asked about my interests and what I might be looking for. Recruiter explained me the entire process on how the interview goes. Usually they have an initial phone interview, where you have to write code through collabedit. After that in person interview.Phone interview was all about data structures. First the interviewer asked me what interests me about facebook, what is one thing about facebook I like. After that interviewer asked me to print a binary tree in level order. I did that. And then I was asked to print the tree in level order but using DFS. Interviewer was nice, was giving a lot of hints whenever I was stuck. Overall, a good experience.",Nothing difficult for someone who would be clear on data structures I guess.   2 Answers
Facebook,"Aug 17, 2014",Accepted Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. The process took 4+ weeks. I interviewed at Facebook (Menlo Park, CA) in December 2013.","Internal Referral -> Phone Interview -> Onsite Loop -> OfferThe process was quick, however I interviewed before the holidays and had to wait until afterwards to hear the results. Everyone is really friendly and helpful. HR always keeps you updated on the process.",System Design (can't give details due to NDA)   3 Answers
Facebook,"Aug 27, 2014",No Offer,Positive Experience,Average Interview,NAN,"A phone interview, simply ask some question about resume and then ask coding question. They sent a link to you and use the link to coding. Just one question, the question is typed by them in the link.",Print a binary tree by vertical level orderlike      1   2 43 5print :321 54   14 Answers
Facebook,"Aug 28, 2014",No Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 3 weeks. I interviewed at Facebook.,"Was contacted by a recruiter on Linkedin. He set up a call with the relevant FB department.I was not looking actively for a job, so was little under prepared. The interviewer was nice and came across as a knowledgeable hands-on person. Provided a shared hackpad to do the white boarding process.",Was not expecting a simple heap search algorithm implementation.   3 Answers
Facebook,"Aug 28, 2014",No Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 1+ week. I interviewed at Facebook (Seattle, WA) in August 2014.","I did not go beyond the first screening interview. Though I did not make it, but I thoroughly enjoyed the interview as the interviewer was interacting and helping me solve the problems and having discussion about the problem",How would u find out the number of cars passing through a busy bridge   2 Answers
Facebook,"Aug 29, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2+ weeks. I interviewed at Facebook (Seattle, WA) in April 2014.","Two interviews - one on my university campus, one on the nearest Facebook campus. Got back promptly after the second interview. The culture is amazingly open, any intern can look at any piece of code in the company - nothing is secret. Additionally a lot of trust is put in interns and employees."," Standard rotated binary search question. You have a sorted array that has been shifted/cycled, perform a search on it   4 Answers"
Facebook,"Sep 23, 2014",No Offer,Neutral Experience,Average Interview,I applied through a recruiter. The process took 4+ weeks. I interviewed at Facebook in September 2014.,"Got interview through recruiter.Had a phone screening soon after, and then was told that I was being considered for an initial technical phone interview.Question: Something about 2D arrays.I felt like I was a bit slow, although I did finish the interview with about 20 minutes left over. (Was originally given 45 minutes)"," Not really anything. The question was pretty easy, I think I just answered it badly.   1 Answer"
