Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Google,"Aug 25, 2014",No Offer,NAN,Difficult Interview,I applied online. The process took a week. I interviewed at Google in August 2014.,Applied online and received an e-mail for a phone interview. I received some links and documents on how to prepare for the interview which are already in other reviews on glassdoor. The interviewer asked a programming question (to write a code for a simple game) which required the appropriate use of classes. The phone interview lasted around 45 minutes.,Going through the thought process aloud was quite difficult.   3 Answers
Google,"Aug 24, 2014",No Offer,Neutral Experience,Average Interview,"I applied through an employee referral. I interviewed at Google (Mountain View, CA) in July 2014.","Google's actively seeking software engineers so it's not difficult to get an interview, but don't let that trick you into believing the interviewing process is easy. They're looking for engineers that have both good analytical and design skills.Once you're set up with a recruiter, he'll be your point of contact in terms of scheduling interviews. You'll first be given a phone interview and if you pass that, they'll bring you on-site for several 1:1 interviews."," Given a sorted matrix where the number below and right of you will always be bigger, write an algorithm to find if a particular number exist in the matrix. What is the running time of your algorithm.   15 Answers"
Google,"Aug 22, 2014",Accepted Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Google in November 2013.,"They came to my school (UCI) and interviewed a good amount of people. Each candidate was given two 45 minute interviews. They ask difficult questions but not as difficult as a full time position. Then if you do well in that you go into host matching where they try to find an internship suitable for you after you give them your preferences. They described an internship and it sounded fun, but I later found out it was a very annoying project and was not satisfied with the initial description.",The conversion interview was at least twice as hard as the internship interviews.   2 Answers
Google,"Aug 22, 2014",Accepted Offer,Neutral Experience,Difficult Interview,I applied through college or university. I interviewed at Google in August 2014.,"Recruiter was very helpful, but the whole process can take a few weeks. Usually 4-5 technical interviews about algorithms and data structures. Each one gave a problem with a specific question but it develops several concepts. Be sure to think outloud and start from something simpler if you are stuck. Pretend the interviewer is your colleague. Spend some time beforehand practicing code on a site like hackerrank.com so that you are comfortable writing code on command."," One of the reviewers was a bit cocky. Stay calm in situations like that, ignore whatever is bothering you, and just address the question at hand.   1 Answer"
Google,"Aug 23, 2014",No Offer,Positive Experience,Difficult Interview,I applied through a recruiter. The process took 2+ months. I interviewed at Google in June 2014.,"Was approached by a recruiter, we had an initial phone screen. From there, I had a technical phone interview with a SWE. The questions were pretty straight forward, nothing too difficult. After that, I had four on-site interviews. Two of them went very well, one went pretty well, and I did pretty poorly in the other. I signed an NDA, so I can't go into details, but my suggestion to anyone would be to prepare as much as you can."," Low level question, which I wasn't expecting (far from my area of expertise).   1 Answer"
Google,"Aug 21, 2014",No Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Google (New York, NY) in December 2013.",Recruiter send you mail asking if interested then calls you for time and date for interview then send you mail containing guidelines then Phone interview - on site interview (1-4)- final interview,It was data structure related question.Is not hard but not easy too ?   1 Answer
Google,"Aug 11, 2014",No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 4+ weeks. I interviewed at Google (Mountain View, CA) in November 2013.","Only have one phone screen technical interview and then onsite interview. I only have three interviews onsite. One wass in the morning, then two in the afternoon. They also would arrange two persons bring you to their food center. The food there is so nice. The process was easy and fast.",System Design   1 Answer
Google,"Aug 11, 2014",No Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Google (Mountain View, CA) in July 2014.","45 minute phone interview: program a computational geometry problem, the phone interviewer did not ask anything else at all.onsite:preparation:I prepared for two weeks. I had been asked to brush up on my algorithms. So I basically took, the online versions of Prof: Tim Roughgarden's Algorithms class @ Stanford and parts of Prof. Erik Demain's class on Advanced data structures. @ mit. Also geeksforgeeks.org also helped me. Even if you don't get into google, I would say that taking these classes are very good for your future technical skills.5 people interviewed me, 45 minutes each. None of the 5 interviewers asked me any algorithm heavy questions. There was no topcoder style questions either. Most of the questions were related to my domain area viz: computer vision and machine learning. Since I had just switched into these areas, I was not an expert and my answers were often patchy. One of the interviewers asked me a question on large scale system design.I am just waiting for the results."," An open ended question on large scale system design, for this you need to be an internet programmer, knowing about issues related to data replication, data availability, large scale scaling etc. I was very patchy on all of these areas.   2 Answers"
Google,"Aug 13, 2014",No Offer,Negative Experience,Difficult Interview,I applied through a recruiter. I interviewed at Google.,"Received email for interview & scheduled a interview date. The employer was very precise & called the date of the interview at the scheduled time slot. However during the interview when a question was being asked the interviewer gave very little time to answer or even think about the question or answer. The interviewer basically rushed me through the 2 questions. The interviewer also, didn't give me any feedback as to how the interview went or what else I need to work and practice more concepts on.",Answering the questions correctly within a timely order.   2 Answers
Google,"Aug 14, 2014",No Offer,Negative Experience,Average Interview,NAN,"Google is remarkably quick at getting back to applicants when applying through directly on Google's employment opportunities page. I received an email two days after submitting my resume and was asked to schedule two back to back 45 minute interviews the following week. Each interview was technical in nature and I was asked to solve two coding questions by typing code into a shared Google document with my interviewer. After asking questions and coding my solutions, the interviewer and I went over my solution and discussed aspects of it such as the running time, security and readability of the code. I did not get past the first round but was pleased by the swiftness of the process.",Prove P = NP   4 Answers
Google,"Aug 13, 2014",No Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 4+ weeks. I interviewed at Google (New York, NY) in April 2014.","Each of the questions were designed such that you will never get the perfect answer, especially on the first try. The problems were specifically made to stump you, and so you can continuously improve your design and show that you're curious to learn and improve.",They asked about servers and how networks functioned and I have no background with that topic.   1 Answer
