Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
HCL,"Dec 3, 2016",Accepted Offer,Neutral Experience,Average Interview,I applied online. The process took 2+ weeks. I interviewed at HCL.,"I applied online, got a phone call and 2 interviews, phone call was just a screening, then the next 2 interviews were highly technical involving to explain how would I solve simple to complex algorithms, I was told to get pencil and paper and to write the scenarios solutions I was asked",What's your Java experience?   Answer Question
HCL,"Apr 3, 2017",No Offer,Neutral Experience,Easy Interview,"I applied through college or university. The process took 2 weeks. I interviewed at HCL (Irvine, CA) in March 2017.","Through email, gave me the job description and told me what I think, He also asked about my work authorization in the states and my visa status if there's any."," what do you think of the job description, let me know as soon as possible   1 Answer"
HCL,"May 1, 2018",Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at HCL (Redmond, WA) in March 2018.","Submitted resume online, got a phone call and emails a few days later. Had an initial phone interview and an in person interview a few days later. The in person interview took place in stages. The first person I interviewed with asked a series of technical questions. The next asked professional background questions. The last was an HR manager who general non-technical questions.",Was asked how I would design a parking lot system. Questions involving basic data structures and class designed were integrated into this question.   Answer Question
HCL,"Sep 24, 2018",Declined Offer,Negative Experience,Easy Interview,"I applied online. The process took 6 days. I interviewed at HCL (Redmond, WA) in September 2018.","Extremely unprofessional, a recruiter kept rescheduling my interview at last moment and at the end when he eventually find time to take it, I was supposed to get a Skype call and instead he called me and said I am away from my system, Can we have a phone call and I said alright and He asked all SQL questions to me, Although the job description was for .NET development. I was irritated by him the way he was asking questions was like he was trying to demotivate me. Like for few answers , I started with It might or I guess and he was like you never did this before, you don't know it that's why your are saying might be etc. which is really not cool, his accent was Indian and very poorly communicating when asking question, I wish you train your interviewers well before asking them to interview because it should be nice and making interviewee comfortable and should not be like somebody is interrogating you. It sucks to have interviews with such people, It shows that the company itself is so unprofessional and employees are that arrogant"," Temp tables and Views, How to write a query for two tables present in different databases in different servers? Why Stored procedure? Etc.   Answer Question"
HCL,"Oct 29, 2018",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took a week. I interviewed at HCL (Redmond, WA) in May 2014.","2 technical interviews 1 hr each with questions on string manipulation, SQL queries, C# concepts.Also asked about testing skills, different types of testing and technical questions from past experience and data structures.",How to find 5th largest Sal in a table.Write query.   Answer Question
HCL,"Feb 14, 2019",Declined Offer,Neutral Experience,Average Interview,I applied through college or university. I interviewed at HCL.,2 rounds one first one is a phone interview with HR Then a hangouts interview with a project manager mostly technical about JBoss net beans spring-boot explained about the interview process beforehand and supported me by conducting a hangout interview as I could not come to onsite,tell me about your previous work experience   Answer Question
HCL,"Oct 7, 2014",No Offer,Neutral Experience,Average Interview,NAN,"offcampus... the process took two days. online test contains simple aptitude,verbel and basic technical questions. cracking that first round is easy one. next round is technical interview. they screw you a lot they asked question in my projects and asked to write a part of code which done in my projects. basic c,c++ and java questions.",they asked questions on java which i dont know   Answer Question
HCL,"Nov 6, 2014",Accepted Offer,Neutral Experience,Average Interview,NAN,I attended interview when i was a fresher. It was an off campus interview. More than 5000 candidates appeared for the interview.Apptitude round - online test.Technical Group Discussion - Discussion on Microprocessor and ElectronicsHR.,About Microprocessor   Answer Question
HCL,"Nov 7, 2014",No Offer,Positive Experience,Average Interview,I applied online. The process took 2 days. I interviewed at HCL in August 2014.,"I applied through AMCAT.the process took 2 days.first day there was online test and second day was interviews.First round was Aptitude Test.In which there were questuions from c,c++,java,quant,resoning and english.Second round was Technical Interview.And final round was HR Interview.",You mention in your resume that you're a creative and logical person.so how do you know that you are a creative person?   Answer Question
HCL,"Mar 1, 2015",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 days. I interviewed at HCL (Ghaziabad (India)) in December 2014.,Reverse process. First we have interviews and then written test . Test is amcat based. Though hr questions are a bit tricky 1 round of eng written test is there and after that a round of jam.,TransformerOptical fiberProjectMatlab   Answer Question
HCL,"Dec 21, 2014",No Offer,Negative Experience,Average Interview,I applied online. The process took 4+ months. I interviewed at HCL in August 2014.,"vey-2 bad process hence they didn't response from you mail or call.We review and approve every post before it appears on our site, and in the case that the community sees something suspicious we will look into the issue and take appropriate action.",easy   1 Answer
HCL,"Jun 11, 2016",No Offer,Negative Experience,Average Interview,I applied through a staffing agency. I interviewed at HCL in June 2016.,It felt like waiting in a government office.. Very unplanned interview process. They make you wait for 5 to 6 hours for 1st round of interview. Only 3 panel members for 60 + candidates. Worst interview experience with HCL. I reached the venue at 9:30 am and registered myself for dot net interview. There were approx 50 candidate for dot net and 2 Interview panel members. Though i reached early my interview did not happen till 2 pm.. I went and told them several times they told me to wait. The interview process was poorly planned. Interviewers were taking 30 to 40 mins to interview each candidate. At last i got frustrated and i left.,Worst interview experience ever   1 Answer
HCL,"Jul 6, 2016",Accepted Offer,Neutral Experience,Average Interview,I applied through a staffing agency. I interviewed at HCL (Hyderabad (India)) in October 2013.,"Mainly Concentrated on C, Linux Internals ,Multi threading ,Socket Programming,Linked list, Projects you worked on and Networking concepts,If you are good you will sure be selected.Mainly two rounds of Technical and one round of HR.Hr round can be telephonic too,for me two rounds of technical panel was done and asked me to fill the HCL form and leave for the day i am not sure it was positive and later one week i got my confirmation from HCL and HR contacted via telephone.So please wait for at least one week to be a positive feed back from any company and then contact the respective person."," 1)Volatile2)Function Pointers,3)Linked list .4)Tcp/Ip5)Socket Programming.   Answer Question"
