Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
IBM,"Aug 26, 2014",Accepted Offer,NAN,NAN,NAN,"You can apply through online portal or through friends referral. If you get shortlisted,HR will call you and provide you details about opportunity. Number of interview are generally depends on the team and kind of position. It sometime be done with 1 technical interview followed by HR interview or sometime it can be 2-3 technical interviews followed by HR round.",Why IBM?   1 Answer
IBM,"Aug 14, 2014",No Offer,NAN,Average Interview,"I interviewed at IBM (Littleton, MA) in February 2014.","In the phone interview, I was asked to introduced myself focusing on my developing experience and skills instead of being asked questions. Then I went to the second round interview, and talked with a technician in an office. I was asked how to design a website.",There would be a IQ test. Get well prepared for that or you might regret!   Answer Question
IBM,"Sep 8, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 3+ months. I interviewed at IBM in March 2013.,"*Please note that due to the size of the company this process may vary.The interview came in three distinct phases. All were conducted over the phone. I was referred to the company by an employee so they seemed to be confident to not need an in person interview before making the decision.Phase 1 was speaking with someone from the skills management department. She was a neutral party unaffialited with the department I would be interviewing with. She gave a breif overview of the company and what the position would be. After confirming I was still interested I continued to phase 2.Next was a discussion with the hiring manager. This was not technical at all; mostly a meet and greet for both parties. I was asked mostly about my background and what I why I wished to work for the company. The manager shared some details about how the department operates and what I would be doing if I were to accept the offer.Phase 3 was the technical interview. I had expected a number of whiteboard style questions but there was a distinct lack of them. I had already sent in some code samples of a game that I had created previously. The most technical questions related to the reason why I had made certain design choices when designing the code for the game. After that, the questions become more about myself and why I was passionate about technology and to see if I really enjoyed working in this field. Once I believe the interviewer was satisfied with my ability the interview became less about one way questions and more about free flowing conversation to see if I would mesh well with the team. Shortly after this interview the hiring manager called to let me know that they would be extending an offer to me soon.The experience was a very positive one.",What was most unexpected was the lack of typical whiteboard style programming questions in favor of other topics.   Answer Question
IBM,"Sep 25, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 4+ weeks. I interviewed at IBM (New York, NY) in October 2010.","phone interview, onsite interview, people are nice there. and lunch interview is good. did some programming tests and asked about technical questions, what i did in the past. some situation questions, what do u plan to do in the future.",what do you think your former employee will talk about you?   Answer Question
IBM,"Sep 17, 2014",Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at IBM.,The interview consisted of a phone conversation. The phone conversation was relatively lax. I was not asked any technical questions. They mostly just asked what I was interested in working on. This probably is not the norm with IBM in the states,No technical questions   Answer Question
IBM,"Nov 18, 2014",Declined Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2+ weeks. I interviewed at IBM in October 2014.,"I submitted my resume to the career fair for IBM. A few weeks later, I was contacted by a manager that they were interested in doing a phone interview. I did the phone screen and then was followed up with another technical phone interview a week later. Both went well so later on I then took the IPAT test and submitted more details on my application. I later then received an offer. I asked for an extension to decide after some interviews with other companies. For now, I will say that I ""declined"" the offer, but it is still on the table and who knows if I will accept it in the coming month.",Why does the printf statement take so long to print from the Arduino in one of my projects?   Answer Question
IBM,"Oct 30, 2014",Accepted Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at IBM (Burlington, VT).","Meet with about 5 managers and teams, it's a day long. They do more speaking than you have too. Be honest and tell them your interests. The managers go over what they do and sometimes they describe the entire organization. The questions they generally have are not too difficult, but you should be on top of things just in case. This didn't happen to me, but someone had to write a small circuit example for an engineering job.",There was no difficult question.   1 Answer
IBM,"Oct 17, 2014",Declined Offer,Positive Experience,Easy Interview,I applied online. I interviewed at IBM.,No Technical Questions. Mostly common scenario questions. Initially had a phone call from recruiter. Then invited for hiring event. You get to talk to more than one division. You will then be invited for on-site. Offer arrives in 3 weeks or less.,NAN
IBM,"Apr 30, 2014",Accepted Offer,Positive Experience,Average Interview,NAN,"I submitted multiple applications for various software development roles. About a month later I received a call asking to set up a phone interview. It was a comprehensive interview with multiple team members, covering points on my resume, Java-knowledge questions, and soft skill questions about how I work with other people. Soon afterwards, I received my offer."," General Java development knowledge, resume questions, and work ethic / situational questions.   Answer Question"
IBM,"May 20, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at IBM.,"Called me for a phone interview, asking general questions regarding to projects that I had previously worked on, send me off to an on site interview with the manager that I previously talked with and a team lead. Interview questions is relatively easy, mostly regarding various software design cycles.",how you test GUI   1 Answer
IBM,"May 19, 2014",Declined Offer,Negative Experience,Average Interview,I applied through an employee referral. The process took 6+ months. I interviewed at IBM.,Referred by an IBM director and got an phone interview by the hiring manager in a month. Hiring manager asked for a technical exercise using one of the IBM core engines as part of the technical review. Presented the results via Webniar to a panel of tech people. Didn't hear back after few weeks regarding an offer.,I presented my R&D works + technical exercise. The hiring manager was quite impressed by them. The hard part is the salary negotiation (went through two hiring managers due to internal reorg).   3 Answers
IBM,"Apr 7, 2014",Accepted Offer,NAN,NAN,NAN,"Basic: phone screen, then on-site",Do an in-order BST walk without additional data structures and without recursion.   4 Answers
IBM,"Jul 18, 2014",No Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 2 weeks. I interviewed at IBM in May 2014.,"The interview process went very smoothly. I met with the HR Rep, then the Manager and the 4 other developers on the team. Each of them had there own interview style but each style complemented the other. The interview consisted of algorithm questions, white board coding questions, and personality questions.",basic algorithms and data structures   Answer Question
IBM,"Aug 17, 2013",Accepted Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at IBM (Rochester, MN).","Technical interviews, technical/logic tests, not bad",Nothing too tricky   Answer Question
IBM,"Aug 15, 2013",Declined Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 4+ months. I interviewed at IBM (San Jose, CA) in January 2009.","Submitted resume, on campus interview, then one day visit to company",Straightforward technical questions   Answer Question
IBM,"Aug 19, 2013",Accepted Offer,Neutral Experience,Average Interview,NAN,1 round of telephone interview and another round of onsite interview with mixed behavioral and technical questions,Why did you leave your last job?   1 Answer
IBM,"Jun 22, 2013",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2+ weeks. I interviewed at IBM (Austin, TX) in July 2011.","I friend of mine in the company send my resume directly to the hiring manager. From there, the first interview was over the phone with a senior architect. This interview was not too technical but more to find out more about my background. However, he did asked me several technical questions. The second interview was on site, and it was a half day of interviewes. First, I interviewed with the hiring manager and two developers from the team I was applying. This interview focused on my previous work and how I would respond to certain challenges. Nothing to technical. From there I met with two other senior architects individually. One of them asked me technical questions and other was more informational of what the team was doing and how I think I could help them. At the end f the day, I met with the hiring manager for last minute questions. Overall the process was not too difficult since there were no really hard technical questions (google style).",I guess the most difficult question was how my past experience had prepare me for this job.   Answer Question
IBM,"Jun 15, 2013",Accepted Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 2+ months. I interviewed at IBM (Austin, TX) in March 2011.","Went through 5 interviews, one of them an in-person interview. I was surprised that I was not asked to solve programming challenges throughout the interview process, for the most part I was just asked about my experience and projects I worked on.",Why should we hire you?   Answer Question
IBM,"Jun 25, 2013",Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. The process took 2+ weeks. I interviewed at IBM.,Communication skillsorder managementbody languagetesting skillsaptitudeattitudegroup discussionspublic speakingtelephonic interviewclient communicationwalkthroughtest plantest labHP QCtest automationtest scenarios,How would you test a calculator   1 Answer
IBM,"Jul 17, 2013",Accepted Offer,Neutral Experience,Difficult Interview,I applied online. The process took 4+ months. I interviewed at IBM in March 2013.,"First, I was first brought in for a day long interview with three people. I was asked mainly behavioral questions and a few basic Java questions. Then after I was initially turned down, they contacted me for another interview during a second hiring phase. This was just a phone interview about my interests and to explain the opportunities available. Afterward, I was given a project to complete and present to a technical lead. Finally, they had me take an online intelligence test. I was offered the job shortly after that. It was a long process that began in March and ended in July, but there is an excellent job at the end of the road if you can stick with it.",Why would one use pass by reference instead of pass by value?   3 Answers
IBM,"Oct 12, 2013",No Offer,NAN,Average Interview,I applied online. The process took 5+ weeks. I interviewed at IBM.,"Met with 6 folks (some managers and tech leads) in a single day that began at 9am and ended at 4:30pm. Managers tended to describe the products and gauge how my personality might fit within the team. Technical leads grilled me on some of the finer points of Java development, heap/stack questions, and JEE. I was also asked brainteaser / riddle style questions. While in the presence of the interviewer, I was asked to draw on the whiteboard and talk my way through solving the riddle.",NAN
IBM,"Sep 4, 2013",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at IBM in May 2012.,Many employees come in after one (or often many) internships. The internship interview was less technically challenging than some other companies'. There were two phone screens before hiring as an intern. Both interviewers were friendly and helpful.,NAN
