Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Lyft,"May 28, 2015",No Offer,Neutral Experience,Average Interview,I applied through a recruiter. The process took 3 weeks. I interviewed at Lyft.,"I was contacted by a recruiter.#1 Initial call this the recruiter: The recruiter was responsive and easy to work with.#2 Technical phone screening: The interviewer was well-prepared, smart but not arrogant, fun to talk with. Questions he asked were technical, but not boring typical algo questions. After some coding exercise we discussed about team culture and products.#3 Technical phone screening: The interviewer canceled my interview 2 minutes before it was supposed to start. The recruiter rescheduled it with the same person. This interviewer was nice, but sounded very nervous and unprepared.",questions relevant to their service   1 Answer
Lyft,"May 26, 2015",No Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Lyft (San Francisco, CA).","Had a phone screener with a recruiter, then a 1hr technical phone interview. After that I had an onsite that lasted ~4 and 1/2 hours. The onsite had 4 different people interviewing me, they were all nice and supportive except one guy. First 3 were algorithm questions and the last person asked me to describe a problem I encountered on another job in depth."," Tree path question, some graph BFS. Pretty simple stuff.   1 Answer"
Lyft,"Apr 23, 2015",No Offer,Negative Experience,Easy Interview,The process took 3+ weeks. I interviewed at Lyft.,It is the worst interview experience I ever had. Their questions are not difficult but the engineers are very arrogant. The current engineering quality of Lyft is just so so. Being arrogant and mean in interview is not the correct way to show your technical strength! Don't waste your time interviewing with them. They are not really hiring engineers. All they do are just making ppl think they are hiring like crazy.,Do you like uber?   1 Answer
Lyft,"Jan 11, 2015",No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took 1 day. I interviewed at Lyft.,I was contacted by the recruiter and scheduled and phone interview. I was called on time and asked few questions on background etc. He a started asking questions and asked me to write some code in the ice that they sent a link. Get used to the IDE.,simple questions was too easy find the second max in an array etc   1 Answer
Lyft,"Feb 1, 2015",No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took a week. I interviewed at Lyft.,I was approached by a LinkedIN recruiter and he scheduled a call with an engineer. It was my first telephonic interview and I was doing this for the first time.,The question was very simple. Given a tree how to find the longest branch.   1 Answer
Lyft,"Aug 13, 2015",No Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took a week. I interviewed at Lyft (San Francisco, CA) in August 2015.",A recruiter reached out to me and set up a phone interview. He spoke to me for around 30 minutes and was very enthusiastic. The interviewer was in a rush to end the call from the beginning. I solved the question in time (~20 mins) but still got a reject.,K lettered words from a string   3 Answers
Lyft,"May 15, 2016",Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Lyft (San Francisco, CA).","Interviewers were very friendly, interview was fun chat and discussions along with standard questions. Interviewers stressed on thought process and gave small tips when needed.Questions were testing CS fundamentals and coding skills and are similar to what other top companies ask."," Standard interview questions, initial coding round, onsite coding and design rounds.   1 Answer"
Lyft,"Mar 30, 2016",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Lyft (San Francisco, CA) in March 2016.","I applied online and was contacted by a recruiter on the same day. He briefly went over the teams and the interview process, which consists of 1-2 1hr technical screens and a full day onsite. We scheduled the technical screen for the following week. For the technical screen, you have the option of visiting their office and doing it onsite, which I'd highly recommend; interviews over the phone and coderpad at awkward at best because of the lack of face-to-face interaction and it was also a great opportunity to check out the office and culture before getting too deep into the interview process.The technical screen itself was fairly straightforward and the recruiter was very open about what topics to expect. CS fundamentals and good communication were key. The recruiter got back to me with results the next day and we scheduled an onsite for two weeks later (because of conflicts on my end).Again, the recruiter was extremely helpful in setting expectations for the onsite; he hopped on a call with me a week before to go over the teams and engineers I'd be meeting with as well as specific feedback from my screen. It consisted of four technical sections (two design, two coding), lunch, and a chat with a hiring manager. Everyone I spoke to was smart, friendly, and easy to work with and I received a verbal offer just hours later.This was definitely the most positive interview experience I've gone through. There were no egos or weird power plays during the interview or negotiation process and I definitely felt like the recruiter was trying to set me up for success.",Design a coupon system.   2 Answers
Lyft,"Oct 31, 2015",No Offer,Negative Experience,Easy Interview,I applied online. The process took 4 weeks. I interviewed at Lyft in October 2015.,"Was contacted by a recruiter about a week after applying online for an iOS position. Set up a quick 30 minute call but she got the time zone wrong, so we had to reschedule. After the recruiter call, did a short technical call with an engineer. The technical interview had very little in the way of coding, just asking questions about my development style. After that the recruiter wanted me to complete a ""short"" programming assignment. I pushed back since I hate doing these but they told me it was part of their process.I spent a good 8 hours building a ""small"" app (they told me to send it within 2 days). A few days after submitting the app, I got a form rejection email and no contact since. My experience is similar to another interviewee on Glassdoor who I should've paid attention to. While the app I wrote was not perfect, I have no way of knowing what it was lacking, and literally spent hours on it for no reason. Companies that require candidates to do this before an onsite just come off as lazy as it requires no extra work for them and a lot of extra work for the candidates.My suggestion is an emphatic DO NOT APPLY FOR A JOB AT LYFT. It is not worth your time. There are better companies out there that require fewer hoops to jump through and actually treat the candidates with respect."," General questions about iOS frameworks, language features.   Answer Question"
Lyft,"Oct 28, 2015",No Offer,Negative Experience,Average Interview,"I applied online. The process took a week. I interviewed at Lyft (San Francisco, CA).",Phone Screen and then Onsite.I am not sure they are actually hiring engineers - the interview was pretty average and all their questions were answered. No offer ! Thanks for wasting my time Lyft.,Coding and design questions   Answer Question
Lyft,"Nov 24, 2015",No Offer,Negative Experience,Average Interview,"I applied through an employee referral. I interviewed at Lyft (San Francisco, CA) in November 2015.","I have friends working at Lyft and I've heard good words from them, so to clarify this review only reflects my personal interview experience at Lyft. I was referred by a friend who works at Lyft, it took roughly a week for the recruiter to contact me. Had the initial phone screen (a quick infinite multi-stream processing coding question) and invited on-site right after.On-site is when the experience went from an 8 to a 3. The day was originally scheduled with 5 tech interviews (2 coding, 2 arch designs, and one closing) and one lunch interview. The first two interviews were conducted with engineers (both nice and polite but lack of interviewing experience). The first interview question was to coding for LRU cache functionalities. While talking through the process one solution was proposed with a runtime of O(lgN) for maintenance- having a heap to keep track the LRU item and a hash for each item and MRU time. When the solution was agreed upon from both parties the interviewer asked to implement the get() function. Before white-boarding the codes down, he asked for the runtime for get(). Given the solution that was proposed previously, the get() will have a runtime of O(1) (hash table lookup). The next 15 min the interviewer was trying to skew the mindset to repeating ""is there any other possible runtime for get()?"" - ""no, unless you have a different solution in mind."" - the communication was the first struggle of the first interview. The second struggle was after the 15 min juggling through nowhere - the interviewer simply paused and asked to code the get() function out. Given the established solution the get() implementation goes:def get(url)  if hash(url)    hash(url)  endendThen (when 5-8 min left) he finally said - is there a more optimal solution? That's when the solution was changed from hash&heap to hash&(pointer and array), which will give a runtime of O(N) for general maintenance. In this case, the get() function includes multiple steps:1. get the data if it's stored in cache O(N)2. update the pointer of hashed item to the end of the arrayIn this case, the get() has a runtime of O(N) instead of O(1).That called for the first interview. The second interview was a good experience. Even though the interviewer is a junior (he's the last min sub for the originally scheduled interviewer) engineer but he was quick straightforward and explicit on coding question (did the coding on his coderpad.io). He also took the extra time at the end to answer my questions (during the lunchtime) even though he didn't have to. I was impressed with his maturity and attentiveness as a young interviewer. His coding question is to write a compressor for text documents given the in and outs of a decompressor.Then the 30 min lunch *interview* - nothing. The interviewer was busy eating with his two giant plates of food as opposed to have *useful* conversations; I would have preferred to eat by myself. The general protocol of lunch interview is to converse with the interviewee with intros to the company and culture. No, none of it.The third interview was conducted with a fairly experienced engineer/HM. That's the most enjoyable interview session I had that day. The question is on arch design. We spent 20 min talking about work experience (same specific field of engineering so granted lots of conversations) and another 25 on numerous cases of arch design. The design question is on design for a promo code based system (with same promo code, randomly generated promo code, and promo code with conditions).When the fourth interviewer is supposed to show up - no he didn't. The recruiter did - ended the interviews early. A sign that is easy to spot, asked me if I have any questions. I said no - replied that if the interview is cut short it's generally not a good sign. She tried to explain that it wasn't the case - but I left early as well and went to grab coffee with my friend working there.It wasn't a pleasant experience for me - with the combination of inexperienced interviewers, abruptly cut-short interviews (understandable, but definitely baffled), and lack of enthusiasm from the employees (lunch chat) - none granted a near sufficient respect to interviewees. I speak as someone who also conducts interviews with software engineers on weekly basis, regardless of their level, background, or positions - interviewers should always own the responsibility for providing the time for interviewees who took their time for the interviews.",Compressor and decompressor   1 Answer
Lyft,"Jan 28, 2016",No Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 4+ weeks. I interviewed at Lyft in January 2016.,"I applied through the online process and employee referral. Basically the recruiter sends you an email and talks to you first about your resume and outgoing questions. The recruiter then tells you on the phone how the interview process is like, where it consists of two interviews on the phone and two on site interviews if you did well on the on the phone interviews. For the on phone interview, you basically code using coderpad in a language of your choice for about an hour or so."," Implement a way to check to see if the driver took 8 hour break after 12 hours of driving. If not, disable driver mode.   Answer Question"
Lyft,"Jan 28, 2016",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Lyft (San Francisco, CA) in January 2016.","They contacted me by email and scheduled a phone call with a recruiter. There was a misunderstood with the time, so we had to reschedule the call (I read this also happened to someone else). After this call I had a 45 minutes technical call with one of their engineers, we had an interesting conversation about the role and the company. Finally, they asked me to do a homework task, which was supposed to take 2 days and I did it. I'm really used to build mobile apps, I've been working as iOS developer for over 5 years, and I've built several apps featured on the appstore, so the task was quite easy to implement. I was really confident with the solution I implemented, but after 5 days they just told me they were not moving forward with my application. Exactly the same I read in other comments. It's fine if you don't get hired, I'm sure there must he great engineers appliying for the same position, but they should at least give you a useful feedback about why you're not the proper candidate. Read all the comments before applying, otherwise you will waste so much time for nothing... Uber does much better on this.",General questions about frameworks and questions about data structures and algorithms.   2 Answers
Lyft,"Jan 9, 2016",No Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Lyft (San Francisco, CA).","Originally reached out to a recruiter expressing my interest in the Software Engineer New Grad position. She got back to me and we set up a chat where we talked about my background, why I wanted to work at Lyft, etc. I then went through 2 technical phone interviews where the format was pretty typical: 5-10 minutes of introductions, 30-40 minutes of technical question(s), 5-10 minutes of asking questions about the position/company. I made it to onsite interviews where the format was: tour of the office, 2 technical interviews, lunch with an engineer, 1 technical interview, and a 30 minute interview with an engineering manager.Overall, the process was very enjoyable and probably the best I've ever gone through. My recruiter was very responsive and willing to set me up for success. They got back to me with next steps literally hours after my phone interviews and I got the rejection the morning after my onsite."," technical interviews were pretty standard (intros, talk about tech stuff, technical question(s), ask questions). the engineering manager interview was fun because you both get to talk about tech in general and also what the company is really about.   2 Answers"
Lyft,"Jul 1, 2017",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2+ weeks. I interviewed at Lyft (New York, NY) in June 2017.","Went through a referral. Was contacted quickly to schedule an HR phone screen. Had the technical screen shortly after that. They were unsure about the first screen so had me do another which I guess I did better on because I was contacted the same day to schedule an onsite. I had an offer already and am from the east coast. Their HR was great about scheduling the onsite for the following week. The interview itself went super smooth, very organized, and very professional.",normal stuff   1 Answer
Lyft,"Jun 28, 2017",No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Lyft.,"I passed google's interview fairly easily but failed a phone screen coding challenge at lyft, because I was unfamiliar with the API and needed some hints. The coding challenge itself was easy and straightforward given you know the API. I was also a little nervous and made silly mistakes, which I was able to correct. IMHO, lyft needs to rethink how they judge performance in these coding phone screens, but of course I'm biased :)",gesture related question   Answer Question
Lyft,"Jul 20, 2017",No Offer,Positive Experience,Average Interview,I applied through a recruiter. I interviewed at Lyft in July 2017.,"I had a phone screen interview on coderpad and we jumped straight into coding question and left time in the end for intros. I really liked the format and was surprised how helpful the person was even though I bombed the interview horribly. We still went through the intros and interesting projects in the end. But it must be worth working here, good people. :)",Tell me about your most interesting/challenging project to date.   1 Answer
Lyft,"May 27, 2017",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took a week. I interviewed at Lyft (Seattle, WA) in April 2017.","I had a phone screen and the guy seemed nice. He asked me about my work and told me code finding LCA for binary tree. I gave a perfect working in 10 mins or so, but he kept asking me to over couple of test cases. Finally he was satisfied after running though same 3-4 test cases more than twice interview was over.I got rejected, and the reason given by hr was that I wasn't quick enough to arrive at the solution.",Find binary tree LCA.   1 Answer
Lyft,"Sep 30, 2017",Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Lyft (San Francisco, CA) in July 2017.","They are very busy, as it took about 3 weeks for them to find an on-site interview slot, partly because their organization is expanding around that time. They are changing so fast. Great potential.",30%: Algorithm quiz like those on LeetCode or so. 70%: Position related background question and design question.   1 Answer
Lyft,"Sep 29, 2017",No Offer,Neutral Experience,Average Interview,I applied through a recruiter. The process took a week. I interviewed at Lyft in June 2017.,This was a phone interview only. The interviewer called me and jumped into the coding question. It was scheduled to be an hour interview. It was over collabedit and I was asked a coding question to solve.," Given multiple values in int ranges, find the longest distance between any pair of numbers across intervals.   2 Answers"
Lyft,"Sep 19, 2017",No Offer,Negative Experience,NAN,"I applied online. I interviewed at Lyft (Seattle, WA) in May 2016.","I was contacted by a recruiter who asked to set up a time for an initial chat. I gave them several windows of availability. Four days later they wrote back and we settled on a time. Five minutes before we were supposed to speak, the recruiter emailed and asked to move the time to another time that didn't work for me. They took a week to get back to me, and after I gave them a new set of times they dragged their feet for another week at which point I took an offer from another company.Doesn't necessarily speak ill of the company as a whole, but at least that one recruiter (who is still employed there a year later) is wildly incompetent.",what is your availability?   1 Answer
Lyft,"Sep 19, 2017",No Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Lyft.,Two phone screens and a code review on coderpad. I was nervous and screwed up the code review but study your basics and you'll do better than me. Overall the process moved very slow.," Array manipulation, substrings, binary search.   1 Answer"
Lyft,"Sep 7, 2017",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at Lyft (San Francisco, CA).","It was nice smooth interview overall. Interview started with my past experience and later interviewer gave me one coding question. Overall, It was nice talking to the person. It must be worth working here, good people. :)",What are projects you have done with your previous organisation?   1 Answer
Lyft,"Nov 22, 2017",No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took 2 weeks. I interviewed at Lyft in October 2017.,"Initial HR introduction call, scheduled a technical screen, during the interview it took almost 10 mins to setup the link to shared code website , 5 mins of introduction and rest of the time to code.The problem was straight forward but required many test cases which was not possible to write in 30 mins. So I made sure which test cases the interviewer was interested in. Wrote code for those and had the output generated . During that time interviewer had no input , no suggestions no interaction, nothingAfter I was done coding , they pointed out that I did not code for all the testing scenarios and that we are out of time.",what is your role in the team?   Answer Question
Lyft,"Nov 28, 2017",No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Lyft (Remote, OR) in November 2017.",Got an email from a technical recruiter to schedule a quick phone screening. Then after a week or so I got an invitation for a technical interview with two Lyft engineers. Interview process was really smooth and everyone involved was really nice and friendly! A really great place to interview at.,Compare two lists and print the duplicate items   Answer Question
Lyft,"Dec 18, 2017",No Offer,Positive Experience,Average Interview,I applied online. I interviewed at Lyft.,Had an initial phone screen. Got immeadiate feedback from the recruiter and scheduler an onsite.Recruiter made sure that I was prepared for the onsite and helped me throughout the process.Lynda is a great recruiter and felt very optimistic about the company.Coding questions were moderate and relevant. Got rejected in the design round. Recruiter provided me feedback with what went wrong. I interviewed with atleast 20 companies and lyft was my most positive experience,Design question relevant to lyft.Algorithmic question not from leetcode but of medium level   1 Answer
Lyft,"Dec 20, 2017",No Offer,Negative Experience,Easy Interview,I applied through college or university. The process took 4+ weeks. I interviewed at Lyft in December 2017.,"Pass the 1st round phone interview. Then the issue came for the 2nd interview. The first interviewer missed the phone call. They scheduled another interview with the second interviewer. However, the second interviewer missed the interviews twice in two consecutive days!!!! What a waste of my time!",Retrieve the last n lines of a file   1 Answer
Lyft,"Nov 14, 2017",No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 3+ weeks. I interviewed at Lyft (Bothell, WA).","Applied online in seattle, reached out over email for a tech screen before they do anything else. Tech screen was a nightmare, interviewer didnt give a damn, he was 15 minutes late, and was eating in the background. No questions about my background or what I was interested in, right into the question. Then he didn’t provide any background info on the problem, didnt know how to use the coderpad thing that we were sharing. My biggest issue was that he more or less told me that I didnt need to do anything but solve the question. Now jumping right in to the question is fine and all but the point of a tech screen is to judge my skills and how I solve problems. Im not sure how he could do that without engaging with me at all. Im not sure what the point of being on the phone is without him saying a damn word, they could have easily sent me a hackerrank and It would have been a better fit. Overall provably wont be applying to Lyft again, and throughly disappointed with how unprofessional and frustrating the experince was.",Boogle/wordsearch puzzle   1 Answer
Lyft,"Oct 27, 2017",No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Lyft (San Francisco, CA) in October 2017.",I got to interview through a recruiter. Overall Good experience. First up is the technical phone screening round and then next steps. The interviewer asked about my resume and then some c++ questions while I was coding.,count number of islands in a binary graph   1 Answer
Lyft,"Oct 31, 2017",Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 2+ weeks. I interviewed at Lyft.,"Recruiter call, technical phone screen, onsite. Very cool people. Just be cool, quick and to the point. Prepare well especially system design part. Recruiter was new but very helpful.Offer negotiation was smooth, no low balling. Offer is based on experience and interview performance.",Technical Phone Screen involved Algorithm and Data Structure   Answer Question
Lyft,"Nov 1, 2017",No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Lyft in October 2017.,There was an initial HR phone screen about background etc. plus an 1h online coding interview. For the coding part they pretty much expect you to just code it without even thinking.," You are given a web server log file (list of timestamp, verb, uri, status code). Print a report showing the count per unique verb-uri-code plus the number of active users (taken from the uri)   Answer Question"
