Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Microsoft,"Nov 17, 2016",No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Microsoft (Seattle, WA) in October 2016.","I was referred by a friend that had interned the previous summer. I was first sent an email to send in my resume and complete a short form. Later on, I got invited to have a phone interview. The phone screen was mostly behavioral with one logic question and one question about recursion. After the phone screen, I was invited to fly out to Seattle for an on site interview. The on-site interview was a series of 4 back to back technical interviews. I was asked to explain things on my resume and also one technical question for each interview."," Suppose you have 11 marbles and a two-pan balance used to compare the weight of 2 things. All of the marbles weigh the same except for one, which is heavier than all of the others. How would you find the heaviest marble if you are only allowed to weigh the marbles 3 times?   7 Answers"
Microsoft,"Dec 18, 2014",Accepted Offer,Positive Experience,Average Interview,NAN,I visited their booth at my University's career fair and then got an on-campus interview about 1 and a half months later. The on-campus interview was a short 30 minute interview where I got asked questions about linked lists: How would you determine if there is a cycle in a linked list? How would you find the head of the cycle i.e. where the cycle starts? How would you find the kth element from the end of a linked list? Then about 2 weeks later I got an invitation for interviews on-site and about 3 weeks after that I flew out to Redmond. I had 4 interviews on-site which had behavioral questions and also coding questions like: How would you test a phone (your simple 20 year old phone)? Give test cases for some functions whose implementation is not know i.e. blackbox testing. The people there were great and I really liked their campus.," Given a linked list with three fields: a data field, a next field and a random pointer field (which is a field that points to null or to an element in the linked list) write a function to return a copy of the linked list without destructively modifying the original linked list   3 Answers"
Microsoft,"Mar 3, 2017",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 3 weeks. I interviewed at Microsoft (Redmond, WA) in February 2017.",I was messaged by Microsoft recruiters from Linkedin. They sent me an online assesment which you have to complete in 60 minutes. If you pass that you will be able to go on-site. I interviewed at Microsoft on campus in Redmond for a full day loop of 6 people. Everyone was super friendly and super excited about future of Microsoft under new CEO leadership.,Signed NDA Contract. Algorithmic and Design Architecture Problems. They drill you deep on multi threading and distributed systems.   2 Answers
Microsoft,"Apr 5, 2017",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at Microsoft (Redmond, WA) in April 2017.","I got referred to a specific team at Microsoft as New Grad hiring was halted for 2016. Talked to a manager on the phone for an hour, and was asked about my resume and did a interview question. Was flown to Seattle 2 weeks later and had an onsite interview with the team at Redmond. It consisted of 5 interviews with coding and culture-fit questions. I was at the Microsoft Campus from 9AM to 4:30PM. The process was nice, and the interviews were more conversational than say Google onsite interviews. I got a call 2 days later with an offer to join the team.Microsoft enjoyed asking data structure questions with arrays, linked lists, strings, etc. Questions on graphs are said to be rare. Be prepared to answer any design questions, which may be follow up questions to coding questions."," Questions on string traversal, arrays + math were common in my interview.   3 Answers"
Microsoft,"Apr 17, 2017",No Offer,Negative Experience,Average Interview,I applied through a recruiter. I interviewed at Microsoft.,I was contacted by the recruiter for the SDE position for their hiring event. I was asked to register and will get the Online test in a week. It's been more than a month since than. I tried to reach the recruiter many times but won't respond back. Any other recruiters won't accept my application since I was contacted previously by other recruiter. I don't understand whether they really are looking for engineers or an applicant just suffers because of all this inside conflicts. It's not believable from such a good company.,Why Microsoft?   2 Answers
Microsoft,"Jan 15, 2017",Accepted Offer,Positive Experience,Average Interview,NAN,"I've applied to FTE positions for years on their public site, and never gotten anywhere. However, this time I had an internal recommendation. So I went from applying to in an interview loop within a week. No phone screen or pre-screen of any sort.The full interview process was comprised of 4 one hour interviews, with various Program Managers and Software Engineers. We did white board coding and talked a lot about my past work. They seemed to really appreciate that I have an UWA in the store already, with good reviews.After the interview, it took about a month to get my offer, however, this was also over the Christmas holiday season. Some delays where due to approvers being on PTO.",I was sked a variety of questions surrounding the more advanced areas of C# and JavaScript.   3 Answers
Microsoft,"Jan 28, 2017",Accepted Offer,Negative Experience,Difficult Interview,"I applied through a staffing agency. The process took 7+ weeks. I interviewed at Microsoft (Redmond, WA) in February 2013.",5 algorithmic questions got asked over and over different data structures and algorithm questions. It was difficult compared to modern hiring practices. Totally different once I joined the team. Worse thing is that the lunch interview is still an interview so watch out.,Mutex question   2 Answers
Microsoft,"Feb 2, 2017",Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Microsoft (Bellevue, WA) in January 2017.","Had a referral sent in by a friend and had a phone screen with the manager (mostly questions about the team and my past experience, followed by a quick coding question). Followed by about a month of inactivity and then was brought in to an onsite with 4 people (3 engineers, 1 manager) and a lunch at the cafeteria. Each round involved talking about personal projects and experience, followed by a technical question and a demo of the team's product in several cases. Surprised by a 5th interviewer pop up at the end who seemed unaware of me and was on his phone and walked off in the middle to get tea. Maybe this was a test to see how I would respond? Was called a couple days later with a negotiable offer, only minor problems with difficulty getting hold of the recruiter."," Given 4 coins of values 1, 5, 10, and 20, find all the combinations of coins that can add up to K.   3 Answers"
Microsoft,"Jan 30, 2017",Accepted Offer,Positive Experience,Difficult Interview,"I applied through college or university. The process took 3+ months. I interviewed at Microsoft (Seattle, WA) in October 2016.",First round - on campus 45 minutes coding round. Flew to Seattle. Total 4 rounds in person. Three coding rounds and one behavioral + previous work experience + projects + background. All coding rounds are whiteboard coding.,Questions on Tree and Array. A recursive and non-recursive solution for each.   2 Answers
Microsoft,"Feb 9, 2017",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Microsoft (Los Angeles, CA) in December 2016.","I applied and got an on-campus interview because of a connection with Campus Recruitment.The interview was quick, with a coding question, some resume review, and a question about explaining and making a simple diagram of a previous project. Not a very personal experience, and I likely did not stand out enough as a confident candidate."," Given the head of a linked list, write a program in your language of choice to return the middle node of the list.   6 Answers"
Microsoft,"Jan 3, 2017",No Offer,Neutral Experience,Difficult Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Microsoft (Tucson, AZ) in October 2016.","I was contacted by Microsoft University Recruiting and offered an interview. The interview lasted about 20 minutes, and we worked through a technical problem. Overall it was a good experience. They got back to me within 4 weeks."," Write a function, that, given a paragraph as input, outputs the paragraph with all the words reversed.   5 Answers"
