Company,Review,Tag
Accenture,It includes telephonic interview a face to face round and once you make it to the company. you may have to face a client interview round t depending upon the project. The interviews are easy if yu do the basics well. for java mostly interview land upto 40 min to telephonic round.,Negative Experience
Accenture,"1st Round - Telephonic Interview (Core Java, Swing, Project Details)2nd Round - F2F (Core Java, Spring, Web Service, JSP)3rd Round - HR (Discussed salary negotiation, location etc.)Had a BGC, received a mail as well i.e. I will be receiving an offer. Still waiting for the offer till date.Both HRs and Management were not professional enough. They didn't inform or replied to my emails. (This is the reason candidate hold more than 2-3 offers before committing.)",Negative Experience
Accenture,I applied in accenture careers website and i got a call from hr saying you will be having a face to face round in our office in hyderabad.I went to their office and the round is not face to face they will make you sit in a conference room and will arrange a technical telephonic round.I have selected the technical round and they told me to wait in the cafeteria the candidates who are not selected they will tell you can leave for the day our hr will get in touch with you.After waiting in cafeteria for long 2 hours a person came and asked those who have all the experience letters and certificates they can stay and remaining can leave our hr will contact you.I gave them my certificates photo copies and after half and hour they arranged another telephonic hr round where the hr asked for the salary details.Its been almost 10 days there is no response from them.The Worst interview process and there is no process for recruitment and the recruitment process is also very cheap. Don't waste the candidates time.,Negative Experience
Accenture,"Terrible process-Recruiter didnt even know I lived on the west coast when it was listed on my resume. Had been scheduling interviewers in ET and when she found out I live on the west coast, unprofessional replied back 'ah....' ......????????-Recruiter took 2 week PTO-Interviewer 1 forgot about interview and said he didnt have internet in the client site (it was a phone interview with no computer necessary). Did not even work at the place I was applying to.-Interviwer 2 forgot about interview as well-Sent email declining position as it was a waste of my time-No phone number to even reach out to the 3. Was thinking of pinging them on linkedin but im not that desperate and unprofessional.",Negative Experience
Accenture,"cleared all rounds but didn't received offer letteronly telephonic interview.also worst hr are there in Accenture, just take interview and never send offer.Never attend its interview.rounds:one telephonic round at office, then take my document and then never call me again.worst hr people. they don't have time to update status.suggestion:go for better opportunity.",Negative Experience
Accenture,"Was a basic HR Interview. Was asked various questions about what I have studied in school, my ambitions and IT related experience. Was also walked through the requirements of the job.",Negative Experience
Accenture,"The process is divided into two parts (two day process):1) Online Test (Day one): It comprises of 3 sections having quant, verbal & logical ability sections..They were easy and if your basics are clear it will be easy for you (R S Agarwal is sufficient)..The result came out pretty late at night..They selected around 350/900 candidates (mass hiring) from the first round..2) HR Interview: To be honest, do not expect a proper interview which you have in your mind, because the recruiters just want the students in mass and ask anything in & out of the field and they take 5 students in one panel of interview all together making it less efficient..They selected 130/350..Basically, I personally had a good impression before the recruitment process but the procedure/company is not meant to take quality students as very basic Technical questions are asked (depending on the mood of recruiter) like what is a pointer ? What is array? So if you apply and do not get selected, there is nothing to loose..",Negative Experience
Accenture,"Aptitude and Face to Face. They will ask to describe yourself, few technical questions related to DB, SQL, behavioral questions, about your previous projects, the interview was not much difficult, HR round - Behavioral questions.",Negative Experience
Accenture,"Entretien classique au tÃ©lÃ©phone, suivit d'un entretien technique ""en vrai"". Le processus a pris plus de 4 mois, afin de ne pas devoir me payer en me laissant sur le bench ils ont prÃ©fÃ©rÃ© me faire patienter pour rien, sans rÃ©pondre Ã mes mails la plus part du temps. J'ai Ã©tÃ© heureux de dÃ©cliner leur offre...",Negative Experience
Accenture,"Contacted by consultancy firm to forward my profile to Accenture, hence technical round is scheduled. I have cleared 3 rounds taken by Accenture team, in which the third round was happened twice, just because there is no co-ordination between Accenture HRs. One person is dealt by more than 3-4 HRs, with no communication between them. Last round of interview happened in April, and after its completion, accenture didn't updated anything about whether I cleared the round or not. I got update once on telephone that now I am in offer stage but they're looking for immediate joinees, which I already told them in beginning that my notice period is 3 months and i cannot join immediately. I have been updated by consultancy (Sourceone) that I am in ""Offer Pending"" status.Few days back, I've been told by consultancy that they don't have opening in Gurgaon location, hence I opted for Pune one. Now after 2-3 weeks, I contacted directly to one of Accenture HR, and got the reply that as of now they don't have openings matching with my profile. If they don't have then why did they wasted my time. After selecting and confirming my status as ""Offer Pending"", they neither updated me, nor contacted me, and now postponing offer. it's already completing 5 months now.",Negative Experience
Accenture,It was lengthy and they can call you even after 4-5 months for next round of interviews. They will call you multiple times for same round of interview. Overall process will be slow.,Negative Experience
Adobe,"There were four, 1-hour interviews. It was clear that the interviewers didn't talk to each other between sessions, as the first 3 interviewers all asked me to write a for-loop on a whiteboard, presumably to make sure I wasn't in the wrong room. The rest were mostly basic language questions.",Negative Experience
Adobe,"There were total 4 face to face rounds,all are the elimination round1st round was based on automation testing however interviewer asked some questions at hardware level.The guy told me to do lunch and wait for second round.When I reported again after m lunch,HR girl came and told me we are not going to do your next round as we re evaluated your 1st interview feedbackNote: If you are going through referral then your chances are high as the feel confident while hiring referrals.",Negative Experience
Adobe,"It was a video conference interview. First of all, the interviewer came one hour late. Then they did not ask for lunch and made me sit for 4 hours, while the 2nd round happened after a gap of another one hour.",Negative Experience
Amazon,"Interviewed with one of the recruiters for Amazon, he wasn't too friendly or responsive. I had two interviews, and the second one went much better, but talking to the first one was a little painful. They only asked technical questions and answered any that I had about Amazon.",Negative Experience
Amazon,"I applied online via Amazon careers website. Afterwards, I got a call from HR to schedule and did some background check. Few days later, I had an phone interview with onscreen coding with a technical manager. The interview was about 30 minutes.",Negative Experience
