Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Oracle,"Sep 6, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Oracle (Denver, CO) in January 2010.","Phone Interview. Then 2 day weekend location interview with 20+ applicants. Flew to Denver. One on one with managers. Technical interview. Group interview. Behavioral, personality, technical.xx xx xx xx xx",Technical questions   1 Answer
Oracle,"Nov 25, 2014",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2+ weeks. I interviewed at Oracle (Redwood City, CA) in January 2013.","phone which takes 1 hour, then called to do an onsite interview, there are 5 or 6, I don't really remember, overall the interview experience is good, questions been asked are all quite easy",no difficult ones   1 Answer
Oracle,"Oct 26, 2014",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4 weeks. I interviewed at Oracle (Santa Clara, CA) in October 2014.","Got an email from the recruiter (had submitted the resume during the career fair). HR provided a list of groups out of which we can select any number depending on our interest. Interviewed with 4 groups (1 hour 30 min each) back-to-back and got an offer from one of the managers on that day itself. That turned out to be best possible scenario since I wanted to work with that group right from the day I had chosen the group as one of my potential interests. Questions involved identifying bugs in a code, deep OS questions, white-board coding. Rigorous but delightful.",NAN
Oracle,"Oct 26, 2014",No Offer,Positive Experience,Average Interview,NAN,"contacted by recruiter, had a quick chat over phone with hr about starting time and interests. hr sent me a list of 8 groups to rank, then they scheduled interview with 4 groups, two of which are in boston area. the interviews are mostly non technical, and vary a lot from group to group. groups in boston are more technical. everyone is very friendly. asked many behavioral questions.",NAN
Oracle,"Oct 27, 2014",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Oracle.,Interview was easy. Basic expected questions on data structures linked lists pointers stacks queues etc. Convert a string to an integer. What is difference between strcpy and strncpy? How do you reverse a linked list?,NAN
Oracle,"Apr 4, 2014",No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 5 days. I interviewed at Oracle (Mineola, NY) in April 2014.","Got a call from Oracle about a position I applied for in Mineola, NY at their Fatwire division. She set up a phone interview a couple of days later.",The questions where very low level JAVA language questions. Questions like what is the Super class of all classes in JAVA. How does the class loader work. What are the different drivers in JDBC (he did want to know about JAVA JDBC Connectors so I do not know what he was referring to). The questions where mostly like this. Things that I never heard anyone else ask before on a JAVA interview.   3 Answers
Oracle,"Jun 26, 2014",Declined Offer,Negative Experience,Difficult Interview,I applied through an employee referral. I interviewed at Oracle.,"Good organization, the interview process was fun and talked with interesting people. The people were responsive on my emails and stayed engaged throughout the process. A little slow on the offer for fresh out of college people.",NAN
Oracle,"Jul 1, 2014",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. I interviewed at Oracle (Burlington, MA) in September 2010.","meetings with managers and developers, get introduced to the projects, discuss my own experience, talk to multiple groups in the same day, have lunch together, questions about personality, no technical questions, people are all very nice",no difficult question   Answer Question
Oracle,"Jul 15, 2014",Accepted Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. The process took 4 days. I interviewed at Oracle (Redwood City, CA) in November 2013.","College hire process can vary from student to student. I have heard of students having a technical phone screen but my process was 20 minute HR screen --> Group Ranking from groups interested in hiring me --> HQ group interviews. The group interviews can vary from pure behavioral, white board coding, take home coding tests, and or a mixture of everything. Mine was more on the behavioral side so it was easier possibly.That hardest part is actually getting the first round interview. Oracle only hires from some 15 colleges from around the country (with some exceptions) and weigh GPA and work experience (internships / coops) higher than many would expect hence the interview process maybe very easy for many."," A great white board question I remember was ""Find the second largest element in a Binary Search Tree""   2 Answers"
Oracle,"Jul 18, 2014",Accepted Offer,Positive Experience,Difficult Interview,NAN,"Campus Interview and Onsite. Group members will talk with you when you have onsite interview. After a month, decision will be emailed to you. And HR will contact you about it.",System Design   Answer Question
Oracle,"Jun 2, 2013",Declined Offer,Positive Experience,Difficult Interview,"I applied through college or university. I interviewed at Oracle (Richmond, VA).","1st yr Software Engineer Applicant Phone Interview:Do you prefer balancing projects, or focusing on one.Open up notepad. If I gave you 0-100 inputs, print X if even, Y if div by 5, the number if anything elseTell me about yourselfTell me about the XXX on your resume.Tell me about XXX on your resumeTime when someone wasn't holding their weight, how it was handledWhy Oracle?Questions for me?Final superday interview was more difficult. Ended after interviews with a test where we were given 2 problems to choose from and solve. The problems were both database focused although about 1/2 the applicants were not applying for the DBA position. This is Oracle, know your DB skills regardless of if you intend to be a DB or not.",see above   1 Answer
Oracle,"May 31, 2013",No Offer,Positive Experience,Difficult Interview,I applied online. The process took 1 day. I interviewed at Oracle in January 2013.,"I had applied through a job portal and my resume got Selected for a recuritment drive. We had been to the Oracle campus at 10 am. This was my first interview drive as an experience professional, Couldnt clear the interview but following are the 2 rounds which i have attended,1) Written Test on the Java Objective( 1 hr)There were 60 question and we needed to answer it in an hour duration. Had prepared for this from a week and finally happy to get this round cleared with the highest score. most of the others also cleared so i presume the cut off was a bit low.2) Technical Interview (1 Hr)Although it was called a technical interview , the first question itself made me loose all the hopes of getting a job. I was given 4 questions and out of which there is only 1 programming question which was a simple one on list. Rest all questions where of puzzle kind which really test your IQ and reasoning skills. interviewer gave some paper and asked me to answer in that , 45 min time was given to answer all the questionsWell the interview process was bit disappointing as i dint get selected , But all said ,I am happy with my interview experience"," 1. Given 2 candles of 8 mins and 11 mins life , how can you calculate 15 min, 19 min , 8 mins.2. a rabbit can hop one step or two steps at a time , given N steps how many combinations are possible.3. one puzzle on time and distance .. couldnt remember it sorry,4. implement a single linked list , simple one :)   3 Answers"
Oracle,"Jun 25, 2013",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Oracle (Redwood City, CA) in March 2013.","Through college recruiting program. HR contact me after I sent my resume via email.No phone interview, just a full day, five-team in a roll on-site interview. Then got the offer"," First, the interviewer taught me how to write BASIC. Then I was asked to write a program using BASIC. The program is not a very tricky one.   Answer Question"
