Company,Review,Tag
Accenture,"quantitive apptitude, verbal reasoning, hr interview, tell me about yourselfGood CompanyFree TransportTImely Promotion if you do shoe police nicely to your managerYear end Hikes ranging from 10% to 16% average",Positive Experience
Accenture,It was HR and technical interview.It was not very intense.you just have to make a good impact and you are through.Just be yourself thats what it was about. Be preparedwith your strengths and weaknesses.,Positive Experience
Accenture,"It was a Walk-in . There were 5 rounds of screening in a day . First one was Technical written test, then technical interview , third group discussion panel, Fourth was HR interview and then senior manager interview .",Positive Experience
Accenture,"As a part of day 1 placement companies, Accenture was one of the IT giants that had visited our college campus. It was a two day procedure. The first round included written test, that was held by online examinations, which included the following sections : general aptitude/quant, english and logical reasoning and ability. I qualified this round and was called for an interview. Much to my surprise, it was a HR interview mostly, wherein the HRs hardly asked us technical questions, and even if they asked, they enquired about our industrial training experience and the projects undertaken. It also included a round of extempore where we were given a topic to speak upon for atleast 2 minutes. Everything went well and I was selected!",Positive Experience
Accenture,"Got selected in campus selection.The process has four rounds1. Aptitude test2. Group Discussion3. Technical Round4. HR roundThe interview process is simple and if you just crack the written and GD , then you are almost selected. Good luck",Positive Experience
Accenture,"Meritrac aptitude test. Group discussion. Technical interview based on what you put on your resume. HR interview.When selected, a small HR orientation on the same day of the job being offered.",Positive Experience
Accenture,"I was part of Accenture mass recruitment drive held at our college.First there was an aptitude test consisting of numerical aptitude,English and logical reasoning. It was an Amcat test.I cleared this first round. Then the second round was Group Discussion round. I cleared it too. The third and the final round was HR+Technical round. Group of 6 students from different branches were called together.I didn't crack the last round.",Positive Experience
Accenture,Hiring process starts with Aptitude test. if you selected in aptitude test then they will call you for Technical round and then final HR round and they will ask you for last document round,Positive Experience
Accenture,"Very flexible. I had my technical interview in a Saturday and the interview with a senior manager in the next Friday, end of the day.Since I was in a critical phase of the project with deliverables, I asked the recruiter to schedule interviews during time that would not impact my activities. I was surprise when he proposed me the first one in a Saturday morning.",Positive Experience
Accenture,"A brief phone screen with HR about willingness to travel for work and prior experience and background. Then a general discussion on video with a senior manager about Accenture business and benefits. Lastly, there was a phone interview with a senior software engineer in New York covering general Java programming questions.",Positive Experience
Accenture,"First stage is aptitude followed by Interview. Basically they took Group interviewAptitude test is conducted by third party, their are questions from English, quants, Reasoning. No negative marking, so better if you attempt all the questions.",Positive Experience
Accenture,"Intially there will be written exams in which there will be three different sections:1)MATHS2)LOGICAL3)ENGLISHafter that a cutoff will be declared and candidates above this cutoff will be called for interviews-technical and HR.TECHNICAL INTERVIEW: they will generally ask about your projects, one of your favourite subjects in engineering and basic questions from c programming(arrays and pointers).those who will clear will move into HR interviewHR INTERVIEW: questions about family background,about yourself and type of technologies you wishes and location preference, why accenture will be asked from you.",Positive Experience
Accenture,"organized, fast process, you will wait just go their recruitment and you will take exam if you didn't make it they will tell you personally but if pass the exam you will wait for interview",Positive Experience
Accenture,"There will be 2 session of the interview.The first one will be with a manager.They won't ask you a technical stuff,It will be more to your attitude.And the second one will be with the leader of your workforce that you apply but not always.There is three workforce which are consulting , solution and services",Positive Experience
Accenture,Campus recruitment.First stage was an online test (mainly aptitude questions). Next the shortlisted candidates were interviewed in a group of five by a panel of two. Interview questions were basic and few cross questions depending on the answer.,Positive Experience
Accenture,Interview process took 2 days for fresher interview and first aptitude then technical interview .It was of campus process so for aptitude it took half day and second day interview take whole day process result announced immediately a,Positive Experience
Accenture,"First of all they conduct Aptitude test.which consist of 3 Section.1) Quantitative Ability : basic maths concepts , Permutation & combination, Cube cutting, more questions on Numbers. Refer R S Agrawal book for Numbers.2) Reasoning : Series, Syllogism, Puzzles etc.3) Verbal : Sentence correction, error correction etc. this section is easy.once we all students clear with Aptitude test, we got result by evening.and next day i have HR round.In HR they were 2 persons panel and we were 5 students at same time.",Positive Experience
Accenture,"First I was asked to write the program in an hour. The question was sent to me via mail and I preferred to write a c++ code(the language didn't matter). Second interview was a skype interview. This time I was asked to design a program mostly based on OOP. Then I was called for the third interview where I had a HR and a Technical interview. It lasted about 2 hours. The technical interview was average it wasn't hard. They asked me to design a system again but this time I was asked to design it with certain data structures and a few constraints. The interviews overall passed well. Although the salary I asked for might have been too high for them, hence I didn't get an offer.",Positive Experience
Accenture,I had applied through the campus. Interview process lasted for 2 days. On first we had an aptitde test follwed by interviews on day 2. Interviews were conducted in the group of 5 people. Aptitude included three sections.1) Verbal ability (20 questions - 25 min).2) Quants (25 questions - 35 min).3) Logical (25 questions - 35 min).Interview was basically based on the compamy information and your goals.,Positive Experience
Accenture,"Applied for a job opening on the company's website. Received an email from the HR with details of when my phone interview would be.Was asked details of my background and questions about the technology I was working on. Met with the same person who conducted the phone interview for the 1:1 interview, where I was asked to write a couple of programs and explain the logic behind them.Received an offer letter from the company, but was not interested to switch companies as I was offered a better role at my present company.",Positive Experience
Accenture,"First round is typically a telephonic round. If you are applying for a mid level position you will be asked basic to advanced questions on your technology and would be asked for location preferences. If you pass this round,then they will arrange for further round of interviews",Positive Experience
Accenture,"Interview process had 3 rounds. First was aptitude then technical and finally HR. HR interview was easy, whereas technical was a bit tough. Interview process went for a whole day and the results were announced on the same day",Positive Experience
Accenture,"Simple basic Core Java questions , multithreading , Exception handling,Polymorphism, Exception Hiearchy.The interviewer was quite good, polite and checking the candidate approach.Started with the Introduction to Basics java. Asked minor questions on JSP and Servlets too.",Positive Experience
Accenture,I got an interview call from Accenture on Thursday and scheduled it on Saturday for telephonic round. Asked very basic questions on asp.net and SQL.Then after 2 days got a call from HR for offer discussion.,Positive Experience
Accenture,"Got a call from Accenture saying I would have a F2F interview in their office in Hyderabad. But when I turned up to the office, I was given a conference room with a land phone. There was no one else in the room except u and the caller on speaker. Interview was for 30 minutes and the technical recruiter uses all the 29 mins to ask you questions and nothing else. Asked me question about the product I have applied for - Order and Service Management.",Positive Experience
Accenture,"1. MCQ aptitude test - medium difficult2. Technical interview - difficult. can we with one or more interviewer3. HR Interview - the talk, check for behavior and attitude which will toward team work",Positive Experience
Accenture,"It was a Campus recruitment drive. The hiring and Interview process was smooth and without any glitches.IQ test was a bit difficult but many got through it, after which we had our technical interviews which went for about 10 mins per head. Once the technical round is done the last hurdle was the HR round which was to be commenced the next day. HR round was good too, they created good repo and made it quite comfortable for the candidates.",Positive Experience
Accenture,"1. MCQ aptitude test - medium difficult2. Technical interview - difficult. can we with one or more interviewer3. HR Interview - the talk, check for behavior and attitude which will toward team work",Positive Experience
Adobe,"The process took 2+ weeks. There was a written test first, it was from hackerrank. After I cleared that there were total 4 technical rounds. 3 rounds happened on a weekend and for the 4th round they called me on a Monday. Questions were mostly on the testing perspective for a big system like ATM, Social Networking Site etc. The interviewers also asked few puzzles on balls, height etc. There were questions from Java Collections as well. All the interviewers asked me to write a full fledged code and asked me to optimise it further. They also provide food in between. All the people were very humble and I really like the smoothness of the process.After 1 week I got the mail from HR that I am selected and will soon get HR call but instead of a call I directly got an Offer Letter. I am really excited to join Adobe Systems, Bangalore.",Positive Experience
Adobe,"The process started with an online test containing aptitude, reasoning and programming questions. Two programming languages are available either you can use C or Java. Then, there were 4 technical interviews. After that, one HR was conducted.",Positive Experience
Adobe,"I dropped my resume at Adobe at a university career fair and got an on-campus interview the next day morning. A senior software engineer interviewed me, he was easy to chat with and seemed prepared for the interview. I didn't expect that the interview does not involve any algorithmic questions (which I spent a night preparing), but with four system-design-like questions. It took a week to know they decided to move on with other candidates.",Positive Experience
Adobe,"Talked to the guy at an on campus career fair, then got an on-site interview after a telephone call to figure out the availability. Process was quick and HR was friendly. Got a tour of their excellent new building in Lehi. Interviewed with two team managers. Got rejected the following Wednesday.",Positive Experience
Adobe,"Either you apply offline or send your resume to any friend at Adobe. He/she will forward it to the management. If you are shortlisted, you will be called for written test. Written test differs for the job title. Generally it is aptitude, quantative plus technical test.If you clear the written, then there will be 5 rounds of interviews each of nearly 1 hour duration (If you have applied from college campus, then this duration might be less).Then it is all up to your skills.",Positive Experience
Adobe,Initial phone interview with a recruiter who contacted me on Linkden and then she forwarded my resume to hiring managers who requested that I have a technical interview. The technical interview went about 30 minutes and they asked me to come to their headquaters,Positive Experience
Amazon,"Was part of the final interview process. 5 interviewers, 4 technical interviews and one behavioral. 45-50 minutes per person. On the technical side was asked about prior experience as a ""wram"" up question then an algorithm. They covered all the standard data structures: Navigation in the binary tree, linked list, search in the graph, system design based on the hash table. Some of the guys seemed very relaxed and the process was sort of working session with a collegue and some of them were a bit distant, and it was a bit hard to read-up anything from them. I got a bit intimidated when I made couple of mistakes but overall process was ok. I didn't receive an offer.",Positive Experience
Amazon,"Made it to the 3rd round interview. First round was a basic HR interview where they inquired about my goals and aspirations. The second round involved actual technical questions, but not too hard. The third round became a lot harder, with questions related more to theoretical concepts. I knew a lot of what they asked but missed out on the more important things they were looking for. Oh and there was an IQ test which was easy.",Positive Experience
Amazon,"Amazon sent 3 programming assignments to candidate via interviewstreet. I had to solve 3 problems within 90 mins. After passing programming screen. Candidates would meet 4 interviewers who gave programming problems. They do not review your resume, but test your coding ability. If candidates passes this onsite interviews, they will be assigned team based on their interest.",Positive Experience
Amazon,"It was pretty simple , you must have good command on data structure and DBMS if you want to get selected work hard on data structure , hashing , trees etc .All the best guysAptitudeTechnicalHR",Positive Experience
Amazon,"I sent my resume to a software engineer and he forwarded it to the recruiter. About one week later, I received an invitation to the on-site interview. There are more than 20 candidates that day. We eat lunch with employees. After the lunch, we are lead to a conference room to start the interview individually. There are 4 rounds of interview, each lasts 45 minutes. All involve coding on the board.",Positive Experience
Amazon,5 1 hour coding problems. A couple interviews had 2 people in them. Pacing around and talking out loud did the trick. Struggled with a problem about peak finding straight out of CLRS but got offer anyways.,Positive Experience
Amazon,"I was contacted by a recruiter through LinkedIn for a local Amazon interview event at my area. I sent my resume and was invited to the event, which was held in a hotel in the area. When I got there the interview day, I was told that there can be up to 4 interviews, which was the number of interviews I had. (I saw some people getting cut short after 3 interviews.) 3 of the 4 interviews were pretty much coding exercises, 1 one was a design question. They ranged from average to difficult, but not that different from what you'd expect from companies like Microsoft, Google, etc. Overall, it was an enjoyable and well organized experience.",Positive Experience
Amazon,"One HR, one technical phone interview, and one onsite interview and good interviewers made, me comfortable and gave good feedback. Everything went well answered 2 out of 3 questions, but I haven't heard from them after the technical phone interview.",Positive Experience
Amazon,Pretty fun initial online test with two coding questions and then a bunch of more logic based IQ questions. Both portions had a time limit. For the coding portion of the test you had to write compilable code to properly output the expected results. The questions very fairly simple bit manipulation and data structures.,Positive Experience
Amazon,"1 coding interview through website, 1 over the phone, 1 in-person. I had to listen to a problem, then right the code for that problem. Overall, I had fun with it. The questions were not too difficult. There was one point where I was struggling to come to a solution, because I was trying to explain and think at the same time. When I got stuck, the interviewer gave helpful tips to guide me in the right direction and I used it. If you can't get a particular solution on your own, getting the solution with a hint is the next best thing.",Positive Experience
Amazon,Interview process was quite quick. They ask you to solve a Hackerrank challenge and then invite you for an HR interview. I then got a Tech Call for an hour with a standard interview question and a nice guy. Wasn't invited onsite.,Positive Experience
Amazon,"I was reached in LinkedIn by a recruiter, then there was a first phone interview with her, it was an insight of what will be the real interview. I was asked soles technical questions mainly around datastructures. Then an on site interview of almost 4 hours scheduled with 4 different manager / seniors. I spent an hour with each. Half the time was questions about the company culture and the other half was about technical questions",Positive Experience
Amazon,"A couple of technical questions such as how to make hash tables more efficient, if we have a reference string and an array of strings how do we find out which string in the array contains the same letters as the sources string in an efficient manner.",Positive Experience
Amazon,"I only went through 2 of the 3 phone interviews. You really need to know your Big-O notation. Understand how a HashMap works. You'l have to write code down on paper and read it back to them over the phone. I had a few easy questions on threading, a question on how I would architect a web application for a car rental company (what would the app do? which objects would we have? I think he wanted to see if I knew what a DAO was, or maybe if I understood MVC).",Positive Experience
Amazon,"I was contacted by an recruiter. She sent over a link for an online technical round. This had 4 questions, 1 coding and 3 theory questions (time complexity)related to the coding questions.I was invited for an onsite interview. The interviewer's were friendly. Asked me standard questions similar to the ones you see in CTCI. There were 5 interviews, and I did well in 4 of them. I couldn't get the solution in one interview. The interviewer was giving me hints but I couldn't figure out the answer.Overall it was a positive experience.",Positive Experience
Amazon,"the interview process is good with one coding round and followed by the technical round, here both are elimination rounds. Questions asked were average.topics are: arrays, trees,linkedlists.palindromic string,LCS etclinkedlist: circular or not, double linked list,trees: binary trees . binary search trees,",Positive Experience
Amazon,"I Interviewed twice,I Was rejected the first time , interviewed 6 moths later. I practiced a lot more during the interim. With low expectations, I received a call from my recruiter, for the offer. Don't despair , follow up.",Positive Experience
Amazon,"I was first contacted by their HR in late October about the possible position in Amazon. I had two phone interviews with them. Both interviewers are friendly. They asked mostly CS and programming related questions as well as the OOD problem. I did well in the phone interviews. After a week, I was informed that they want me to go on-site for a formal interview.The onsite interview was tough, I've talked to seven interviewers. Each one for one hour. Most interviewers are friendly. Some questions are really tough and open. I know I still have so much to improve interms of my technical skill. After all, I am a fresh graduate trying land my first job. I didn't get the offer as I expected. But I feel I learned a lot.",Positive Experience
Amazon,"I have an one hour phone interview yesterday. The first 30 mins, we mainly to talked about my project, how is the database design. There is only one coding question at the last 30 mins. The question is:There are many conference room at Amazon, your manager wants you to book a conference room for a meeting. The number of people and time is given. Please return a list of rooms which are available at that time and have enough capacity.",Positive Experience
Amazon,"Really hard interview , with awesome developers , design and coding questions , behavioral questions , some pressure. Code in whiteboard and desing in a sheet of paper. 4 persons interview. at the end should ask interesting questions",Positive Experience
