Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
SAP,"Nov 5, 2015",Accepted Offer,Neutral Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at SAP (Palo Alto, CA) in June 2014.","First got a phone interview, on the next day, I was invited to have the on-site interview at Palo Alto SAP Lab. Three month later, I got the offer as an Software Developer. lengthy process."," asked all basic data structure questions, also some class projects I've done in school. Doubly linked-list, hashmap, SQL, primary key, foreign key etc.   Answer Question"
SAP,"May 5, 2016",Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 4+ weeks. I interviewed at SAP in January 2012.,Initial chat with the recruiter then had a technical interview with the VP and hiring manager. This was few years ago.No interviews with team.Went through the CV and most recent projectHigh level questions on how to design a web applicationQuestions on JDBC and OR mappingEnterprise java questions,Java and SQL   Answer Question
SAP,"Mar 5, 2015",Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at SAP.,"First got a phone interview then follow up with the on-site interview.Five people asked me questions in turns,the questions were mainly about my school projects and data structures",all kind of data structure questions   Answer Question
SAP,"Sep 27, 2015",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2+ weeks. I interviewed at SAP (Dublin, CA) in May 2015.","All about the basic Computer Science knowledge. Not hard at all. There are two skype interviews, and a 5-round on-site interview. Then talked with the VP and Senior VP, and got the offer. About interview questions is about the algorithms and data structure, like tree, stack. And basic knowledge about relational database system.",What about your previous projects?   Answer Question
SAP,"Aug 3, 2015",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at SAP (South San Francisco, CA) in July 2015.","Applied on portal. Process took one week.Four Skype CallsTeam Lead, Senior Software Engineer, Senior DevOps Engineer, Sr. DirectorStress on situational questions and expect practical and implementable solutions.They gauge your skills and interests based on previous work experience/academic projects.",How would you update the timestamp of when a post has been published in a facebook like site? Would you write your algorithm in the client side or server side?   Answer Question
SAP,"Sep 8, 2018",Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at SAP (Palo Alto, CA) in March 2018.","I applied online. Got an email from a recruiter that my resume has been reviewed and one of the teams would like to interview me. I gave my availabilities and got a phone call from the manager of the team. He started by describing what they are looking for in an intern, what the job demands, and how the scrum team works together. He then asked me about my background, my previous experience, and career interests. The call went very well and positive. I was then scheduled a called with an engineer on their team who asked me several technical questions based on my resume. I got an offer 2 weeks later.",They asked me about my past internship experiences.   Answer Question
SAP,"Jan 29, 2018",Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at SAP.,"Campus hiring. Written aptitude test followed by 3 rounds of technical interviews.Questions were fairly typical, with a few puzzle type problems thrown in.One of the technical interviewers delved deep into my personal projects, and we had an interesting discussion.One round of HR interview."," Monty Hall problem, Implement QuickSort, Normalization   Answer Question"
SAP,"Apr 9, 2018",No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 4+ months. I interviewed at SAP (Palo Alto, CA).","I applied online and they first scheduled a behavioral interview with me. It was a 30min interview and it went well. At the end of the interview, I was told that I made to the next round which was the technical interview. The technical interview was scheduled for an hour and you're given about 20mins to answer each question. If you go over the time limit they try to ask you for you pseudo code, if not they ask you to optimize the code. The coding was done on codepad. The interviewer was extremely nice and helps you through your code if I got stuck. At the end of the interview, they give you a chance to ask your own questions. There were 2 rounds of technical interview of the same structure."," Given a collection of distinct numbers, return all possible permutations.For example,[1,2,3] have the following permutations:[[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]   2 Answers"
SAP,"Mar 31, 2018",No Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at SAP (Seattle, WA) in December 2017.",There was a coding challenge on HackerRank followed by a phone screening. After almost three weeks I was called for an onsite interview of 5 rounds- 3 behavioral and 2 technical.," Data Structure algorithm, SQL, design patterens.   Answer Question"
SAP,"Oct 6, 2018",Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at SAP.,"It was just two rounds of interviews, neither of them were too difficult and I enjoyed them. The first was with one of the iXP manager and another one was with my manager. They were both mostly behavioral with some portions which were linked to more technical concepts.",Asked about basic technologies and how they work.   Answer Question
