Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Symantec,"Oct 15, 2014",Accepted Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Symantec (Culver City, CA) in February 2013.","Contacted through Campus career fair. The process was straightforward, 1 screening, 2 technical interviews. The recruiter was nice and helpful and became a personal friend later. The first interviewer was a bit quiet, which was uncomfortable for me, so I don't think I did very well. The second one was nice and more talkative, which allowed me to discuss the problem more. Overall, the interview experience was average."," The first question was about parsing in C (char array, etc.). The second interview question was simply to quickly write a program to return the angle between two hands of the clock. It was more about approaching the question and being thorough with inputs/outputs, etc.   Answer Question"
Symantec,"Mar 17, 2014",Accepted Offer,NAN,NAN,NAN,HR called and set up a phone interview then was called for onsite.There were 3 onsite interview1. Coding interview where they asked to do tree traversal2. Coding interview where they made me do directory traversal3. Testing interview where I was given a scenario which I had to write test cases for,NAN
Symantec,"Mar 8, 2014",No Offer,NAN,NAN,NAN,"Interviewed in September 2010. Had a phone interview. The interviewer was nice to talk to. Started with a discussion of project mentioned on my resume. Asked basic questions about C coding such as static variables, auto variables, register variables. Stack vs heap. Memory allocation. Structure vs union. Ended with a brief discussion of the position.",NAN
Symantec,"Nov 30, 2013",No Offer,NAN,NAN,NAN,"I talked to one of their recruiting representatives at the univ career fair, and then after three weeks, I got a call from one of the hiring manager requesting for an on-site interview. On the interview day, I meet 6 persons including the hiring manger, half an hour for each interviewer. They mainly asked project experience from the resume and coding problems. Some of them also asked about some system design questions and brain teaser questions. I followed up after two weeks, no one replied my email."," a system design question about client and server design and the speed limits. You need to consider both the hardware part and software part, also need to know some virtualization techs.   Answer Question"
Symantec,"Jan 2, 2014",No Offer,Neutral Experience,Average Interview,I applied through college or university. The process took 4+ weeks. I interviewed at Symantec.,I applied at a job fair. They contacted me back in about 1 month for one of the security teams. I had to go through a lot of hoops in terms of contacting HR. They were not very responsive in terms of returning e-mails.," During the interview they ask a lot of questions relating to hash maps, trees etc, some algorithms stuff and well experience you have.   Answer Question"
Symantec,"Feb 4, 2014",No Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Symantec in January 2014.,On-campus interview. Questions on implementing fibonacci and palindrome. Then a couple of questions on recursion vs. iteration and memory allocation in C++.,All questions were easy.   Answer Question
Symantec,"May 24, 2010",Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 3 days. I interviewed at Symantec (Mountain View, CA) in July 2008.","This was a fairly standard Silicon Valley software engineer interview. First, a general chat with the recruiter about past experiences and my skillset. Then, an interview with several engineers who asked more technical questions about data structures and algorithms. As part of the interview, I had to write code (C, Java, or pseudo-code) on the whiteboard or a piece of paper.",Explain how a TCP/IP connection is established.   Answer Question
Symantec,"May 15, 2009",Accepted Offer,Neutral Experience,Difficult Interview,"The process took 4 weeks. I interviewed at Symantec (Waltham, MA) in November 2007.",There was no phone screen as my resume made it to the compnay thro' a recruiter who had talked to me over phone. I'd 2 sessions on 2 different days on 1:1 interviews with 3 people on each of the days - each person interviewed me for approximately 45 minutes.,Linked list related problem don't remember the full details   Answer Question
Symantec,"Mar 18, 2009",Accepted Offer,Positive Experience,Easy Interview,"I applied through other source. The process took 3 weeks. I interviewed at Symantec (Mountain View, CA) in February 2009.","Everything moved very quickly. Manager was very motivated and lobbied for higher money and perm position. One phone interview and then a site visit meeting with 3 pairs of people. All very nice. People, office and culture are nice. Have an office which is rare in Silicon Valley.",Why did you leave your last position?   1 Answer
Symantec,"Jul 10, 2011",No Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 1 day. I interviewed at Symantec (Culver City, CA) in June 2011.","recruiter called me. I passed the phone interview of 1 hour.I went on to a face to face interview at their office in Culver City, 6 people including the Hiring Manager, taking 45 minutes on each person. All the guys interviewed me were young, in their early 30, very friendly.Questions were mostly about algorithms and data structure. Interview went ok but I haven't heard from them for 2 weeks. Checked with recruiter and got update that they didn't offer the position, citing looking for more senior one.",how to detect cycle in linked list   3 Answers
