Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
Twitter,"Aug 22, 2014",No Offer,NAN,NAN,NAN,"Applied through a referral, was contacted by a recruiter, and then completed two phone interviews. The process seemed very efficient for me and there was not a long turnaround time. I only interacted with people over the phone and they were courteous and nice, with the exception of one engineer interviewer who was sort of gruff.",Write a program to simulate a fair coin given two biased coins. This problem was then extended to vary the head/tail probabilities of the given coins and the coin to simulate.   4 Answers
Twitter,"Sep 16, 2014",No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took a week. I interviewed at Twitter.,Contacted by recruiter. They are very fast and responsive. I got an email from recruiter had initial chat. Sent over my resume and had two phone screens. The phone screen was technical.They use a tool similar to collab edit where they can run the code to see the result.,Nothing difficult or out of the world.   2 Answers
Twitter,"Sep 16, 2014",No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 5 days. I interviewed at Twitter in September 2014.,"I applied online and got a email two days later. They gave me a pre-interview survey and a coding assessment online. Then afterwards supposedly, is a phone interview followed by a on-site interview.I only got as far as the coding assessment. It was two algorithms you had to implement under an hour. Also, the assessment lets you use a language of your choice. I wonder what score I got, because I thought I didn't do too bad.Anyway, I would suggest practicing coding and algorithms beforehand."," Don't want to share the actual coding questions. But, you know how to work with arrays and basic data structures.   2 Answers"
Twitter,"Oct 11, 2014",No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Twitter in March 2014.,I applied online and received an email shortly asking for a phone interview. That interview was mainly a casual interview with a few basic technical questions. I then had two technical Skype interviews that involved coding on a mutually-visible editor online. These were with members of the team I was interviewing to join.," Not a particular question, but the online editor threw me off a bit because they wanted me to only jot down notes about the questions in that editor, not on a sheet of paper, so I got self-conscious about what notes I wrote down.   1 Answer"
Twitter,"Dec 12, 2014",No Offer,Negative Experience,Difficult Interview,"I applied through a recruiter. The process took 8+ weeks. I interviewed at Twitter (New York, NY).","Coding test followed by 2 technical interviews. I was matched with a team thereafter. One engineer from the team interviewed who never bothered to tell me about the team, was not interested in me since the beginning and was super rude.",The questions were not the standard interview questions found online.   1 Answer
Twitter,"Dec 10, 2014",No Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 1+ week. I interviewed at Twitter (San Francisco, CA) in November 2014.",Replied through employee referral. The process took 2 weeks. The recruiter contacted me and asked me to do a hour-long online coding challenge at HackerRank. There were two questions in total. Both were quite easy to solve however i overlooked overflowing issues with my code and didn't pass some of the test cases. The next day I received email the the recruiter saying I did not get to the second round.,Bit manipulation   3 Answers
Twitter,"Nov 22, 2014",No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. I interviewed at Twitter (Boston, MA).",The take home question was to write a yaml parser.Design gmail was the architecture question. We talked a lot about scaling and reliability.Walk through resume line by line.Talk with manager about why Twitter.,Resume line by line.   1 Answer
Twitter,"Nov 22, 2014",No Offer,Neutral Experience,Difficult Interview,NAN,"Given a n-by-n matrix, each cell has a value of either 0 or 1. A cell indicates a wall if its value is 1. give the length of the shortest path from M[0][0] to M[n-1][n-1]. You can move either up, down, left or right.",first round interview   5 Answers
Twitter,"Nov 14, 2014",No Offer,Positive Experience,Difficult Interview,I applied through an employee referral. The process took a week. I interviewed at Twitter in October 2014.,"I got an internal referral by my friend. The recruiter contacted me through in 2 days, ask me to go through an online pre-screen where I have to solve two easy coding tests like binary tree traverse. 2 days after I passed that an phone interview was scheduled. The phone interview interviewer was nice and respectful. Two knowledge based question was aksed, then I was asked to solve a problem in an online code editor.",A graph related algorithm question   Answer Question
Twitter,"Nov 12, 2014",No Offer,Positive Experience,Difficult Interview,I applied through a recruiter. The process took 2 weeks. I interviewed at Twitter.,I received an email from a recruiter after dropping my resume off at a CS career event at my school (Stanford). I was then invited to take an online coding test.," Given a two strings, return whether the second is an anagram of a palindrome of the first string.   2 Answers"
