Company,Time,Offer Status,Interview Experience,Interview Difficulty,Application,Interview Description,Interview Questions
VMWare,"Sep 4, 2014",No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took 2+ months. I interviewed at VMware in August 2014.,"Very bad experience with VMware. I took the phone interview on Aug. They gave me an onsite on Sep. 18th. 10 days before the onsite, they send me an email and told me they have to remove me from the onsite since they realize I am a new graduate student. I have to cancle my ticked and reschedule all my other interview",NAN
VMWare,"Sep 7, 2014",No Offer,Positive Experience,Average Interview,I applied through a recruiter. I interviewed at VMware in September 2014.,30 min phone screen and a 4.5 hour full loop interview; mostly technical coding questions and some SOAR stories; The first 3 rounds were full coding and with hiring manager it was mostly explaining projects and design questions.,Design a smart pointer class   1 Answer
VMWare,"Nov 24, 2014",No Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at VMware in October 2014.,"It is a On campus interview. At first I take the online quiz on the Hackerrank.com. Then they managed a interview in the campus. The interviewer can not write code, only ask me a puzzle. And then ask me about the resume. The whole interview last about 30 minutes. And a week later, I get the result."," Given 25 horses, and 5 tracks. Only at most 5 horses can be in one round's match. Ask at least how many rounds to get the three most fast horses.   5 Answers"
VMWare,"Nov 16, 2014",No Offer,Negative Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at VMware in October 2014.,"I had two back-to-back interviews with VMware on my college campus.The first interview was with a hiring manager. It was non-technical and lasted 45 minutes. It primarily consisted of a brain-teaser question unrelated to software. This interviewer was professional and informative.The second interview was easily the worst I've ever had. The interviewer was arrogant, impatient (to the point of interrupting me to ask the next question), and made it clear within the first 10 seconds that he had no interest in interviewing me. The first question he asked was a brain-teaser unrelated to software. The second question he asked was an algorithm question. This interview lasted about 45 minutes, and I fully regret not walking out after the first 5.Based on this experience I would never consider working for VMware.",NAN
VMWare,"Nov 1, 2014",No Offer,Negative Experience,Average Interview,I applied through college or university. The process took 3 days. I interviewed at VMware.,"The process was essentially painless. I met the recruiter at a career fair, and we arranged an interview on the spot. The interviewer was running a few minutes late, but ultimately was polite and knowledgeable. The interview itself was very easy for the role I was looking at – iOS developer. At the end, though, I expressed my reluctance to work in Atlanta, AirWatch's only location, which I believe resulted in the company not wanting to take the process any further."," None of the questions were challenging. The most difficult, though, was, ""describe the functioning of APNS,"" Apple's push notification system.   Answer Question"
VMWare,"Oct 22, 2014",No Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 4+ weeks. I interviewed at VMware in October 2014.,"Apply on career fair, got an on campus interview. 1 hour long. Questions are easy, basic data structure coding on white paper. Also some operating system question , mainly definition~",NAN
VMWare,"May 18, 2014",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took 2+ months. I interviewed at VMware (Cambridge, MA) in March 2014.","I received an email from a recruiter via Linked In regarding an ""invite only"" recruiting event to take place in Cambridge, MA. The event was to be held roughly 2 months from when I received the initial communication. I was told that VMWare was looking to fill several engineering roles ""up and down the stack"", and that they were looking for ""every background"" and ""all experience levels"".After expressing my interest, I was instructed to take a 1 hour coding challenge via Interview Street (now Hacker Rank). The challenge was a single problem that covered basic data structures/algorithms and could be completed in the language of my choice.After completing the coding challenge with 100% accuracy, I was invited to attend the event, and VMWare connected me with the appropriate people to arrange travel, ask questions, etc. So far so good.2 days before I was scheduled to attend the event, I received a call that my interview would be cancelled. The hiring managers were looking for a very specific skill set, which I did not have. While all the communication I had received up until this point stressed that VMWare was looking to fill multiple different roles, and was looking for ""solid CS fundamentals"" and the ability to ""quickly ramp up and learn new technologies"", it seems the hiring managers were looking specifically for kernel developers with extensive experience in C.I was very surprised to see that such a communication gap had occurred between the hiring team(s) and the recruiting team. I felt that this should have been caught much, much sooner. I had been in contact with VMWare for nearly 2 months! During this time I received very detailed documentation describing the general skills that they were looking for. That being said, I did appreciate them stopping the process as soon as it became clear there was not a match."," Unfortunately, none.   Answer Question"
VMWare,"May 15, 2014",No Offer,Negative Experience,Average Interview,"I applied online. The process took 4 days. I interviewed at VMware (San Francisco, CA) in October 2013.","I was called by the HR. And the HR was asking personal questions in very diplomatic way, trying to get to know if I was married! It sounded very weird. Later had an technical interview and the interviewer didn't acknowledge whatever I was explaining, and mentioned I will be contacted within 4-5 days. Never got a call back. Emailed HR to follow up and never received any reply. Apparently the HR now is with drop box!Tech question: few complex recursive problems and asked the output and complexity.",Do you have a family?   1 Answer
VMWare,"Apr 17, 2014",Accepted Offer,Negative Experience,Average Interview,"I applied through college or university. I interviewed at VMware (Atlanta, GA) in February 2014.",I started out interviewing on my college campus and thought I did ok. I was then invited to an on-campus interview and interviewed with two different people and thought they both went pretty well.," The questions where pretty easy compared to other interviews I had. Fibonacci sequence ( I did O(n) version),find the intersection of two lists, get all the leaf nodes of a binary tree. What is restful protocol.   Answer Question"
VMWare,"Jun 17, 2014",Declined Offer,Positive Experience,Difficult Interview,"I applied online. The process took 6+ weeks. I interviewed at VMware (Palo Alto, CA) in May 2014.",There were two phone interviews and a face to face interview with the hiring manager. The first phone interview was with a recruiter who basically checked boxes to ensure that I met basic qualifications. The second phone interview was with the hiring manager. Questions were a mix of situational and technical. The third interview was face to face. More situational questions than technical questions. There were also some general problem solving questions.,How do you work with a superior that requires you to commit to unrealistic or unobtainable goals?   Answer Question
VMWare,"Jul 7, 2014",No Offer,Positive Experience,Average Interview,I applied through an employee referral. I interviewed at VMware.,"I got referal from employee and got response after 2 weeks. They arranged a 45 mins phone interview. The interviewer was quite nice. I didn't manage to write the complete solution to the coding question but he let me send the code within 30 minutes, it could just for formality though."," Not so many difficult questions. At first some OS questions about thread/process, deadlocks, followed by a coding question that find the next smallest node in a BST then the given number. I was not well prepared though.   Answer Question"
VMWare,"Aug 11, 2013",No Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral. The process took a week. I interviewed at VMware (Palo Alto, CA) in June 2013.","Applied for VMFS engineering team. Recruiter contacted online. Scheduled onsite interview. Total 6 face to face interviews including 1 with engineer in Bangalore. Lost some time in setting video conferencing with engineer in Bangalore. Asked questions about filesystem work, whiteboard coding questions, algorithms, system programming. All interviewers were helpful. Used to take picture of whiteboard at the end of interview.",Design and implement recursive mutex   Answer Question
VMWare,"Jun 1, 2013",Declined Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 1 day. I interviewed at VMware (Palo Alto, CA) in April 2013.","I have been talking with these people for a while, even before graduating. Once I am graduating, they were fast to follow up (in fact, they are the fastest to do so). However they were not pushy or anything, which cannot be said about all the employers/HR out there.The exact interview is quite fun, with interview questions being interleaved with chats about your work, their work and their short-term to mid-term focus. This gives you an idea of what you will get to work on and helps to have an informed decision. Again, many companies from my experience does not provide such information which makes a decision hard.As for interview questions, expect some of the typical coding questions with some system design questions. The latter is probably due to my area of expertise. Be prepared. There is really nothing special about coding questions. Study for it."," The employer has asked that I kept the question to myself, and I would respect that.   Answer Question"
VMWare,"Oct 28, 2013",No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. The process took a week. I interviewed at VMware (Seattle, WA) in October 2013.","I was contacted on LinkedIn by a recruiter about a private interview event in my city. The communication was pleasant and informative. I was asked to complete a timed (one hour) coding question online at my convenience. If the coding question went well, then I would be invited to participate at the interview event. I completed the coding question, and submitted my solution. A few days later I received word that they would be not be moving forward with me."," You are given a dictionary, such as /usr/share/dict/words, containing a list of words, one per line. You are also given seven tiles. Each tile is either blank or contains a single lowercase letter (a-z).List all of the words from the dictionary that can be produced by using some or all of the seven tiles, in any order. A blank tile is a wildcard, and can be used in place of any letter.Try to use a minimal amount of memory.1. Find all of the words that can be formed if you don't have to deal with blank tiles. (You may skip this step and go straight to step 2).2. Find all of the words that can be formed, including those where blank tiles are used as wildcards.3. Would you do things differently if you had to process several hundred tile sets with the same dictionary?   5 Answers"
